څاښکه	sɑxka
مرستونی	mrast̪unaɪ
غمی	ɣamai
پت	pat̪
مسه	m̩sa
زما	zmɑ
نا	nɑ
څښاک	t͡sʂɑk
انګور	aŋɡur
سپک	ʃpak
ف	fe
جلا	dʒəlɑ
چ	tʃe
سپوږمۍ	spoʐməi
تۀ	tə
اس	as
مذهب	mazab
معدن	mɑd̪ən
لېږل	leɡəl
څاښکه	t͡sɑxka
ې	pastaje
اتل	at̪əl
اينو	ino
هو	ho
ښۀ	ʂə
ډاکو	ɖɑku
ط	t
ظ	zwe
هدف	hədəp
آ	alepməd̪ɑ
نوی	nəwai
ګورل	ɡorəl
ښوونځی	ʂowəndzai
داسې	dɑse
نژدې	niʒde
جام	d͡ʒɑm
اخښل	axʂəl
پلورل	plorəl
کینخي	kinaxxi
ځغلول	dzɣəlawəl
غ	ɣajn
راولم	rɑwaləm
لور	lur
غوښتل	ɣuçtəl
ژرنده	d͡ʒrand̪a
ن	n
پښتون	pʊxt̪un
په	pə
غمی	ɣalmai
ځکه	d͡zəka
ټوکه	ʈoka
لوښي	loʃi
بوخت	boxt̪
پوښتنه	poʂt̪əna
اخښی	axʂai
غپېدل	ɣapedəl
پلازمېنه	plɑzmena
موږ	muʝ
ۍ	ʃədzinaje
درېږم	dareʐəm
څلور	t͡salwor
نمونځ	ⁿmuŋd͡z
همېل	hamel
دېو	d̪eo
ښارو	xɑro
تړل	t̪əɻəl
اوږد	wuʒd̪
ئ	j
مخوېينه	məxwejəna
بدپوری	bəd̪poraɪ
نو	nu
به	ba
ض	dwɑd
درزي	d̪arzi
ښوونځی	xowənzai
اوسېدل	osedəl
ه	ɡərdahe
چورلکه	t͡ʃurləka
خوړل	xwaɽəl
تود	t̪od̪
مرغ	mraɣ
شمېرپوهنه	ʃmerpohəna
پمنکی	pamankaɪ
بلل	baləl
مرغۀ	mʊrɣa
وييونه	wijuna
سړی	saɺ̢aɪ
ی	ai
اېموجي	emod͡ʒi
مېلمه	melma
رنګ	raŋɡ
اوږه	wiʒa
يوولس	jawolas
کړ	kəɻ
ډېر	ɖer
کلی	kəlaɪ
ګډېدل	ɡaɖedəl
پښتون	paʃt̪un
سرېښ	sreʂ
سورلنډی	surlənɖai
ٙ	ə
بکاڼه	bakɑɳa
بن	bən
همېل	amel
ګودر	ɡud̪ar
مذهب	mazhab
جنګيالی	d͡ʒəŋɡjɑlai
شپېته	ʃpetə
وريجې	wrid͡ʒe
اوريګامي	oriɡɑmi
دوولس	dwolas
موسيقي	musiki
ښوونځی	çowand͡zai
لمريز	lmariz
ژبکۍ	ʒabakəi
دروزه	d̪ruze
ګام	ɡɑm
نجلۍ	ndʒələi
پښه	xpa
زلیخا	zʊləixa
میرزا	mirzɑ
شرمښ	ʃərməx
دروند	d̪ruŋd̪
ګڼل	ɡaɳəl
قطر	qatər
ځل	d͡zəl
زبرګ	zbərɡ
څوارلس	tswɑrlas
زر	zar
ج	dʒim
توپان	t̪opɑn
دعوه	d̪ɑwa
نږدې	niʒde
باغ	bɑɣ
انا	anɑ
ښکلی	ʂkwəlai
ښه	çə
بدسترګی	badstərɡai
راهیسې	rɑhise
ښځينه	ʃədzina
ويه	jaja
ماښام	mɑʂɑm
ب	b
بربنډ	bərbəŋɖ
پشۍ	pəʃəi̯
ګرد	ɡərd
غنم	ɣanəm
واوره	wɑwra
چ	tʃ
اوسم	osəm
پتخه	pat̪əxa
زبرځواک	zəbərd͡zwɑk
نښتر	nəçt̪ar
زغره	zɣara
زاګرېب	zɑɡreb
تنور	t̪ənur
ځنګل	d͡zəŋɡəl
هلک	ələk
ښکاره	xkɑra
شوملې	ʃomle
سوټک	soʈak
دروغ	d̪roɣ
مرغه	marɣa
کړه	kɻə
غرڅنی	ɣart͡sənai
مېښه	meʂa
وېرول	werawəl
کښې	kʂe
زوی	zoɪ
ورځ	wrad͡z
لږ	ləɡ
جاروکښ	d͡ʒɑrukəx
نيوکه	niwəka
ژباړل	ʒbɑɻəl
زرغون	zərɣun
اخيستل	axistəl
زمری	zmaraɪ
کښې	kʃe
غڼه	ɣəɳa
ووړکۍ	woɺ̢kəi
هغه	haɣə
نشت	nəʃt̪
کوټ	koʈ
انګلستان	ɪŋɡlɪst̪ɑn
کونړ	kunaɻ
شومېر	ʃumer
ځای	d͡zɑi
څاروى	t͡sɑrwaɪ
منل	manəl
درنه	d̪rəna
سا	sɑ
خت	xət̪
چوڼيا	t͡ʃuɳjɑ
کنوه	kɪnwa
مونږ	munɡ
ښارو	ʃɑro
ل	lɑm
پوهنتون	pohant̪un
واوره	wɑu̯ra
ۍ	ʂədzinaje
لوی	loi
بې	be
څ	tsim
تېروتنه	t̪erwat̪əna
مېړۀ	meɻə
و	w
اړخ	aɺ̢x
اوسېدونکی	osed̪unkaɪ
ګروه	ɡroh
ګهيځ	ɡəhid͡z
غوښتل	ɣuxtəl
لړم	laɻam
نزدې	nizde
فردوس	fɪrd̪aws
سپی	spaɪ
دلې	d̪əle
غم	ɣam
زر	zər
غندل	ɤand̪əl
اېخ	ex
ورکول	warkawəl
ذکر	zɪkər
ژور	d͡ʒawar
څنګ	tsanɡ
ځې	d͡ze
کرټ	krəʈ
سېلۍ	seləi
ښارو	ʂɑro
غونډ	ɣwəŋɖ
ځار	d͡zɑr
نيا	njɑ
څکه	t͡səka
پتخ	patax
ق	qɑf
نطفه	nʊt̪fa
اورېدونکی	awredunkai
انځورګر	and͡zorɡar
ښامار	ʂɑmɑr
شين	ʃin
ښايي	xɑyi
لور	lor
هسک	hask
کله	kɘla
غوا	ɣwɑ
باغوان	bɑɣwɑn
مينه	mina
برابر	barɑbar
مړې	məɽe
نياو	njɑw
پښتنه	pəʃt̪ana
دود	d̪od̪
پنځپوهنه	pəŋd͡zpohəna
لمانځل	lmɑnd͡zəl
دوی	d̪oɪ
خ	x
بخښل	baxəl
ننګ	nəŋɡ
ئ	əi
ښاغلی	ʂɑɣəlai
غږېدل	ʐaɣed̪əl
بېخي	bexi
پرتوګ	part̪uɡ
پارسه	pɑrsa
دړد	d̪əɺ˞d̪
تويول	tojawəl
دونه	d̪ona
ئ	fɑilijaje
لومړی	lumɺ˞ai
ښځه	ʂəd͡za
خوړنځی	xwəɻənd͡zaɪ
غښتل	ɣəçt̪əl
ږمنځ	ʒm̩əŋd͡z
وټه	wəʈa
ث	se
لېوۀ	lewə
ولسوالي	wələswɑli
سړه	səɻa
درکول	darkawəl
ښ	ʂin
سل	səl
بته	bət̪a
باغ	boɣ
مور	mor
لېونۍ	lewənəi
داړل	dɑɺ˞əl
ي	klakaje
مېړګی	meɻɡai
ژېړ	ʒeɻ
افغانستان	afɣɑnɪstɑn
ځم	zəm
پروړه	proɻa
باد	bɑd
کالي	kɑli
فرانس	prɑŋs
ن	nun
اري	ari
ک	k
ډک	ɖak
موندل	mund̪əl
مېښه	mexa
غېږ	ɣeɡ
څاښکه	t͡sɑçka
ګ	ɡɑf
ګل	ɡʊl
نطفه	nʊt̪pa
توتي	t̪ut̪i
اوړی	oɻaɪ
ګردی	ɡərd̪ai
وييپانګه	wəjipɑŋɡa
جنګول	dʒaŋɡawəl
ديارلس	d̪jɑrləs
اور	wor
امريکايی	amrikɑjaɪ
ور	war
نارنجي	nɑrənd͡ʒi
سور	sur
بارکزی	bɑrəkzai
اته	at̪ə
ځی	d͡zai
بيا	bjɑ
ګېنډی	ɡenɖaɪ
مرغړی	marɣaɺ̢ai
جوړول	d͡ʒoɽawəl
نبي	nabi
اخته	axt̪a
ر	r
پښتو	pʊxt̪o
برايي	bərɑji
غمجن	ɣamd͡ʒan
اسلام	ɪslɑm
ګڼ	ɡaɳ
غوږ	ɣwaɡ
م	m
اوږه	uʝa
لرغونپوهنه	lərɣunpohəna
جګتيا	d͡ʒəɡt̪jɑ
ښوونکی	ʂowunkaɪ
باچا	bɑt͡ʃɑ
ختيځ	xat̪id͡z
بېړۍ	beɽəi
بوڼېدل	buɳedəl
ښکار	ɕkor
باران	bɑrɑn
څادر	t͡sɑd̪ar
خپسه	xəpəsa
نرکاشه	nərkɑʃa
پښه	pʂa
لوړ	lwaɻ
ګرځول	ɡərd͡zawəl
پيشو	piʃo
جګړن	d͡ʒəɡɺ˞ən
بوى	buj
ځیږ	ziɡ
وريژې	wriʒe
هېلۍ	heləi
مرخېړی	marxeɺ̢ai
څښاک	t͡sxɑk
غلط	ɣalat̪
اړول	aɽawəl
زهٔ	zə
تانۀ	t̪ɑnə
شيګره	ʃiɡara
غورځول	ɣord͡zawəl
درېږم	dareɡəm
اوړم	awɺ˞əm
کرکره	karkara
ږ	ʐ
ستا	st̪ɑ
بېرته	berta
غېږ	ɣeʐ
ښ	x
ډنګر	ɖaŋɡər
رېبز	rebəd͡ʒ
ويی	wəjai
تماله	t̪amɑla
هګۍ	əŋɡəi
شاهد	ʃɑhed
ګډون	ɡaɖun
لپاره	lapɑra
