já	jauː
gormur	kɔrmʏr
tæla	tʰaiːla
tegrun	tʰɛɣrʏn
einhjól	einçouːl
tætingur	tʰaiːtiŋkʏr
flagasóley	flaːɣasouːleiː
nýra	niːra
korpa	kʰɔr̥pa
blámaður	plauːmaːðʏr
gröf	krœːv
grænspæta	krainspaiːta
hljómur	l̥jouːmʏr
stífla	stipla
kynhvöt	cʰɪːnkʰvœːt
sót	souːt
kennarasleikja	cʰɛnːarastleiːca
lúðalegur	luːðalɛːɣʏr
serða	sɛrða
kaffivél	kʰafːɪvjɛːl
flugslóði	flʏxstlouːðɪ
rithöfundur	rɪːthœːvʏntʏr
garðasól	karðasouːl
nafnliður	napnlɪːðʏr
ættingi	aihtiɲcɪ
regn	rɛkn
forma	fɔrma
torf	tʰɔrv
kveisa	kʰveiːsa
gráðugur	krauːðʏːɣʏr
framleiðandi	framleiːðantɪ
ökkli	œhklɪ
pissa	pʰɪsːa
friggjargras	frɪcːarkraːs
ekkjumaður	ɛhcʏmaːðʏr
gal	kaːl
herkinn	hɛr̥cɪnː
þinn	θɪnː
skotvopn	skɔːtvɔhpn
án	aunðɛs
hræ	r̥aiː
hermannaskáli	hɛrmanːaskauːlɪ
sannlega	sanːlɛːɣa
alþingi	alθiŋcɪ
hrekkja	r̥ɛhca
afbökun	avpœːkʏn
blátoppastör	plauːtʰɔhpastœːr
harðlífi	harðliːvɪ
vanda	vanta
lundi	lʏntɪ
einfaldlega	einfaltlɛːɣa
hem	hɛːm
breytni	preihtnɪ
helvískur	hɛlviskʏr
liþín	lɪːθiːn
kaupmaður	kʰøypmaːðʏr
hampjurt	ham̥pjʏr̥t
valköstur	valkʰœstʏr
frægur	fraiːɣʏr
aðalhaf	aːðalhaːv
krap	kʰraːp
hjólastóll	çouːlastoutl
vindmylla	vɪntmɪlːa
tyrkjasól	tʰɪr̥casouːl
salvadori	salvatɔːrɪ
ungur	uŋkʏr
flugfélag	flʏːɣfjɛːlaːɣ
nárú	nauːruː
bílaleiga	piːlaleiːɣa
dómstóll	toumstoutl
hefna	hɛpna
hringlaga	r̥iŋklaːɣa
hýðishrísgrjón	hiːðɪsr̥iːskrjouːn
held	hɛlt
rell	rɛtl
geðklofi	cɛðkʰlɔːvɪ
flæði	flaiːðɪ
þó	θouː
barna	partna
eplabaka	ɛhplapaːka
þorgeir	θɔrkeiːr
þriðjudagur	θrɪðjʏtaːɣʏr
hæfa	haiːva
fas	faːs
flytja	flɪːtja
kyrr	cʰʏːr
liðhlaupi	lɪðl̥øyːpɪ
heilabólga	heiːlapoulka
montinn	mɔn̥tɪnː
fis	fɪːs
heimta	heim̥ta
altaristafla	al̥taːrɪstʰapla
