liste	liʃtə
tasche	tʰaʃə
politiker	pʰoliːtikɐ
steif	ʃtaɪ̯f
eer	eːɐ
schell	ʃel
poliere	pʰoliːrə
siffer	sifɐ
er	ɛɐ
sterze	ʃtɛt͡sə
kuhstall	kʰuːʃtal
kratze	krat͡sə
wortschatz	vɔtʃat͡s
salsich	salsiç
reh	reː
ratt	rat
nee	neː
kristall	kriʃtal
still	ʃtil
mils	mils
schlange	ʃlaŋə
zaart	t͡sɔːt
maai	mɔːi
pille	pʰilə
nin	nin
munizipp	munit͡sip
weche	veçə
faan	fɔːn
streicher	ʃtraɪ̯çɐ
reim	raɪ̯m
sache	saxə
menz	mɛnt͡s
schlofe	ʃloːfə
kind	kʰint
deer	teːɐ
rest	reʃt
schnuffle	ʃnuflə
nei	naɪ̯
soda	soːta
xloych	ʃlɔjx
kleng	kleŋ
rees	reːs
rasse	rasə
stihl	ʃtiːl
russland	ruslant
schlicke	ʃlikə
kapsle	kʰapslə
schos	ʃoːs
nodwennich	noːtvɛniç
mitter	mitɐ
grund	krunt
stuhl	ʃtuːl
bopp	pop
mauer	maʊ̯ɐ
quarz	kwat͡s
kinn	kʰin
stanze	ʃtant͡sə
johreszeid	joːrəs͡tsaɪ̯t
lechle	leçlə
nein	naɪ̯n
zunge	t͡suŋə
sos	soːs
weinflasche	vaɪ̯nflaʃə
schritt	ʃrit
mitspiele	mitʃpiːlə
stiefkind	ʃtiːfkʰint
millione	mili̯oːnə
hehl	heːl
rinner	rinɐ
schlaa	ʃlɔː
struz	ʃtruːt͡s
schippe	ʃipə
um	um
kresse	kresə
fresse	fresə
abakatt	apakat
trede	treːrə
daaghs	tɔːxs
zeichnung	t͡saɪ̯çnuŋ
zwilling	t͡sviliŋ
rappe	rapə
koffer	kʰofɐ
ohre	oːrə
spiel	ʃpiːl
winter	vintɐ
welle	velə
rindfleisch	rintflaɪ̯ʃ
pitsch	pʰit͡ʃ
aanannerbinne	ɔːnanɐpinə
ich	iç
mission	misi̯oːn
teekann	tʰeːkʰan
schild	ʃilt
kreme	kreːmə
wische	viʃə
kraule	kraʊ̯lə
der	tɐ
note	noːtə
lache	laxə
zucker	t͡sukɐ
bub	puːp
kiel	kʰiːl
weve	veːvə
enn	ɛn
peepst	pʰeːpʃt
steel	ʃteːl
awer	awɐ
brust	pruʃt
odder	orɐ
banann	panan
kilogramm	kʰilokram
tinte	tʰintə
kulture	kʰultuːrə
lohn	loːn
zwellef	t͡sveləf
eesterreich	eːʃtəraiç
uherzeid	uːɐt͡saɪ̯t
hexenacht	heksənaxt
konsumiere	kʰonsumiːrə
daarem	tɔːrm̩
seife	saɪ̯fə
richtung	riçtuŋ
sihn	siːn
haus	haʊ̯s
schmuck	ʃmuk
kron	kroːn
taxis	tʰaksis
kamm	kʰam
rosse	rosə
nawel	naʊ̯l̩
romantik	romantik
sommer	sɔmɐ
sie	siː
schetz	ʃet͡s
wechsle	vekslə
mitkomme	mitkʰɔmə
setz	set͡s
panz	pʰans
gedrenk	kətrɛŋk
speicher	ʃpaɪ̯çɐ
reffe	refə
kerne	kʰɛnə
rotz	rot͡s
en	eːn
mihl	miːl
kessel	kʰesl̩
spaan	ʃpɔːn
zeen	t͡seːn
necht	neçt
matte	matə
grummbeer	krumpeːɐ
uffem	ufm̩
daagh	tɔːx
aam	ɔːm
geel	keːl
schelle	ʃelə
hellfe	helfə
recht	reçt
schmier	ʃmiːɐ
spoer	ʃpoːɐ
malaria	malaːria
peck	pʰek
pill	pʰil
kloppe	klopə
rei	raɪ̯
buch	pux
schneider	ʃnaɪ̯rɐ
aanannergehn	ɔːnanɐkeːn
mone	moːnə
feind	faɪ̯nt
lecher	lexɐ
hoss	hos
roh	roː
klatsche	klat͡ʃə
bleive	plaɪ̯və
sinfonisch	sinfoːniʃ
problem	propleːm
schnell	ʃnel
schnecke	ʃnekə
gemies	kəmiːs
meel	meːl
bolasch	polaʃ
zentraal	t͡sn̩trɔːl
taxi	tʰaksi
heit	haɪ̯t
zweck	t͡svek
nemme	nɛmə
kupper	kʰupɐ
nuss	nus
krees	kreːs
spreche	ʃpreçə
schenker	ʃɛŋkɐ
äärsch	ɛːʃ
schlitz	ʃlit͡s
strof	ʃtroːf
moie	moɪ̯ə
kanon	kʰanoːn
pronome	pronoːmə
peffermenz	pʰefɐmɛnt͡s
kittel	kʰitl̩
sperre	ʃpɛrə
zaum	t͡saʊ̯m
ferzen	fɛ͡tsn̩
mann	man
speck	ʃpek
lutsche	lut͡ʃə
schrift	ʃrift
priester	priːʃtɐ
pizzas	pit͡sas
opfre	opfrə
schnips	ʃnips
stroh	ʃtroː
aanbiede	ɔːnpiːrə
knaps	knaps
schutz	ʃut͡s
leng	lɛŋ
piano	pʰiaːno
kapsel	kʰapsl̩
sprecher	ʃpreçɐ
kessle	kʰeslə
ochse	oksə
lied	liːd
rëghiere	reçiːrə
stiefbruder	ʃtiːfpruːrɐ
zuckre	t͡sukrɐ
rëmorss	remɔs
schwefel	ʃveːfl̩
mutter	mutɐ
knecht	kneçt
lust	luʃt
problematisch	propləmaːtiʃ
krippe	kripə
schachtel	ʃaxtl̩
spiss	ʃpis
frankreich	fraŋkraɪ̯ç
schleier	ʃlaɪ̯ɐ
richte	riçtə
rette	retə
paar	pʰɔː
ripp	rip
radios	raːti̯os
land	lant
schlepp	ʃlep
sattel	satl̩
teekanne	tʰeːkʰanə
schuld	ʃult
schmelze	ʃmelt͡sə
praut	pɾaʊ̯t
lipp	lip
medizin	metit͡siːn
stelle	ʃtelə
tass	tʰas
leib	laɪ̯p
luftschiff	luftʃif
ranschegelleb	ranʃəkeləp
waar	vɔː
komme	kʰɔmə
notel	noːtl̩
kriich	kɾiːx
russisch	rusiʃ
soldaat	soltɔːt
benutze	pənu͡tsə
sammle	samlə
loja	loːʃa
kamp	kʰamp
kranz	krant͡s
masse	masə
lieh	liː
kamiong	khamiɔŋ
maurer	maʊ̯rɐ
buger	puːkɐ
muskitt	muʃkit
