גברבר	ɡvaʁvaʁ
אחת	äħät̪
מחק	maχak
קול	kol
אויב	ʔojev
רוקה	ʁavaka
כתיבה	kæθivɔ
ארץ	ʔɛʀɛsˤ
עם	im
אג״ח	ʔaɡax
נותן	nɔɪseɪn
בדיוק	bidjuk
אקונומיקה	ekonomika
סדר	seðɛr
אדיר	ʔadiʁ
חנות	ħaːnuːθ
מרשתת	mirʃetet
כותב	koːtibu
סעודה	seʔuda
משתלה	miʃtala
רוח	ʁuax
מחרתיים	maħoratajim
צריך	t͡sɔrix
קרע	kaʁaʕ
כרע	kaʁaʕ
שמעון	ʃimʔon
חבש	ħɔvaʃ
מדפסת	madpeset
תחת	taxas
לשתות	liʃtɔt
שידור	ʃiduʁ
חמץ	ħamets
יונה	jona
פשטות	paʃtut
קול	kojl
גנב	ɡaːnav
מנוחה	menuχa
שמעון	ʃimon
יפה	jafa
אלייך	ʔelajiχ
טלית	talit
חרמן	χaʁman
בית	beθ
אם	ʔem
דוד	dud
לכתוב	liχtɔv
חיבל	χibel
עד	ʔad
חתול	ħat̪ul
קשת	ɡæʃæθ
יהדות	jahadut
רבץ	ʁavat͡s
הייתה	hajəta
אגם	ʔaɣamː
ידע	jada
דברים	debarim
דברים	dvɔrim
אהב	ɔːhæv
צפון	sˤaːɸoːn
רצה	ʁatsa
נזיר	naːziːr
קרא	karaʔ
כך	kaχ
הזכיר	hizkiʁ
כרה	keʁa
ספרדית	sfaʁadit
מחשבון	maχʃevonim
חשוב	ħɔʃuv
מסדרון	misdəʁon
לינוק	linok
רוח	ruaħ
תרועה	teruʕa
עת	ʕeːθ
דלקת	daleket
גפן	ɡefen
נהג	naːhaɡ
חמש	xameʃ
ברכה	bʁaχa
אמן	ʔɔmen
התאבדות	hitʔabdut
ילד	jeled
מחרתיים	moχʁotajim
השפעה	hæʃpɔʕɔ
אף	ʔaf
סבון	sabon
עוון	ʔavon
נשכח	niʃkaχ
הוציא	hot͡si
אוכל	ʔukal
חמה	χema
עוון	ʕɑwon
ורונה	verona
אות	ʔøθ
צריך	sarix
חשוב	ħaʃub
דרקון	daʁkon
נתפס	nitfas
פופולרי	populaʁi
שלף	ʃalaf
רגל	ʁɛɡɛl
גרב	ɡeʁev
שפתיים	sfatajim
הזדיין	hizdajen
ארר	ʔaʁaʁ
שומר	ʃoːmeːr
דוד	d̪od̪
מניין	minjɔn
גנב	ɡanab
שכלול	ʃiχlul
תוכאים	tukaʔim
ישראל	jisrɔʔel
בהמה	behema
יסוד	jesod
שמואל	ʃmuejl
