inventar	imbənta
equipat	əkipat
bateres	bateɾes
imaginava	iməʒinavə
ens	ɛns
notable	nutablə
lígules	liɡules
vegetariana	vəʒətəɾianə
actualitzant	əktuəlid͡zant
concloure	koŋklɔwɾə
interrogada	interoɡada
holotúria	olutuɾiə
garba	ɡarbə
desmentida	dəzməntidə
preferia	pɾəfəɾiə
embriagada	embɾiaɡada
beneficiats	bənəfisiats
granades	ɡɾənadəs
oferir	ofəɾi
marxat	mərʃat
domesticar	domestikaɾ
balneari	balneaɾi
hawaià	awaja
alterada	alteɾada
etapa	ətapə
entrevistada	əntɾəbistadə
honoràries	unuɾaɾiəs
hawaià	əwəja
fitxatge	fit͡ʃad͡ʒe
vida	bidə
radicalitzades	rədikəlid͡zadəs
monetari	munətaɾi
evasives	əbəzibəs
protagonitzat	pɾotəɡonid͡zat
anglés	aŋɡles
experimentades	ekspeɾimentades
sòria	sɔɾiə
ballo	baʎo
domini	domini
sacrificar	səkɾifika
descosits	dəskuzits
calien	kalien
jurada	d͡ʒuɾada
ploure	plɔwɾə
intensificada	intənsifikadə
afirmades	əfiɾmadəs
ossades	usadəs
afalagats	afalaɡats
escarxofat	əskəɾʃofat
urbanístiques	urbənistikəs
meditava	məditabə
transplantar	tɾansplantaɾ
cariada	kəɾiadə
vestuari	vestuaɾi
acumulats	əkumulats
esplèndida	əsplɛndidə
recobrar	rəkobɾa
valentia	valentia
convergència	komvəɾʒɛnsiə
perpinyà	pəɾpiɲa
rebotut	rəbutut
escotada	eskotada
filtrades	filtɾades
ígnia	iɡnia
il·luminació	illuminəsio
ram	ram
terminat	təɾminat
emotiu	əmutiw
reparat	repaɾat
observadora	upsərbədoɾə
àkans	akəns
conspirats	kunspiɾats
apedregades	əpədɾəɡadəs
pupil·la	pupillə
amenes	əmɛnəs
monòlegs	munɔləks
bolivariana	bolivəɾianə
fugits	fuʒits
desconnectada	dəskonnəktadə
originats	uɾiʒinats
invertits	imveɾtits
adherit	ateɾit
separes	sepaɾes
hirsut	irsut
oreneta	uɾənɛtə
pastilla	pəstiʎə
remolcades	rəmulkadəs
individualitzada	individualizada
adaptats	adaptats
obtingudes	uptiŋɡudəs
empinades	əmpinadəs
ores	oɾes
examen	əɡzamən
emasculats	əməskulats
mirandeses	miɾandezes
captiva	kəptibə
transmesos	tɾənzməzos
hipofaringe	ipofəɾiɲʒə
olímpic	ulimpik
gravat	ɡɾavat
gambià	ɡambia
agregats	aɡɾeɡats
monetari	monətaɾi
afirmava	əfirmabə
cordades	koɾdades
animat	ənimat
retirat	retiɾat
acreditarem	akɾeditaɾem
esdevinguts	ezdeviŋɡuts
ambdós	əmdos
hesitades	əzitadəs
internacionalitzat	intəɾnəsionəlid͡zat
lèxica	lɛksika
ronronejada	ronronəʒadə
laborables	ləboɾabləs
lletrista	ʎətɾistə
peruana	pəɾuanə
planxats	plaɲt͡ʃats
assimilar	asimilaɾ
occidental	oksidental
mòlt	mɔl
reverberava	rəbərbəɾabə
lexicalitzats	leksikalizats
generació	ʒənəɾəsio
contracció	kuntɾəksio
dirimides	diɾimides
democràtics	demokɾatiks
esgarrats	əzɡərats
prolongació	pɾuluŋɡəsio
impartit	impaɾtit
xopada	ʃupadə
disseny	diseɲ
vara	baɾə
acompanyada	əkumpəɲadə
raïm	rəim
cogitar	koʒita
pontificat	puntifikat
enterra	entɛra
confirmades	kumfirmadəs
anemoscopi	ənəmoskɔpi
constructiva	konstɾuktivə
delmades	delmades
tupat	tupat
calcs	kalks
algorítmica	alɡoɾimmika
isquèmics	iskɛmiks
propilè	pɾopile
perfumats	peɾfumats
ora	oɾa
actuava	aktuava
traus	tɾaws
necessitada	nesesitada
aclamats	aklamats
poetessa	poetesa
petxina	pət͡ʃinə
governades	ɡoveɾnades
probablement	pɾubabləmen
desproporcionat	despɾopoɾsionat
femenins	femenins
personificar	peɾsonifikaɾ
afectiu	afektiw
