bekerjasama	bəkərdʒasama
penyiksaan	pəɲiʔsaʔan
biau	biau
dinyatakan	diɲatakan
kadal	kadal
inas	inas
melémpar	məlempar
serudukan	sərudukan
mutlak	mutlaʔ
kerangan	kəraŋan
saksofon	saʔsofon
merapat	mərapat
metai	mətai
gamping	gampiŋ
temabur	təmabur
rasi	rasi
menderai	məndərai
mengelana	məŋəlana
bocor	botʃor
kesumat	kəsumat
siar	siar
panjangnya	pandʒaŋɲa
sebat	səbat
diperhamba	dipərhamba
balut	balut
pembetulan	pəmbətulan
cupang	tʃupaŋ
jentera	dʒəntəra
mengabu	məŋabu
éksotis	eʔsotis
diktum	diʔtum
berbatu	bərbatu
terburu	tərburu
pejalan	pədʒalan
cadangan	tʃadaŋan
selundup	səlundup
khayalan	ʔhajalan
menyiapkan	məɲiapkan
terbungkuk	tərbuŋkuʔ
andaman	andaman
syukuran	sjukuran
syirik	sjiriʔ
tenam	tənam
dikaruniai	dikaruniai
mengerumus	məŋərumus
mengasamkan	məŋasamkan
menekur	mənəkur
babu	babu
membaning	məmbaniŋ
bertétésan	bərtetesan
akrobat	aʔrobat
mengadatkan	məŋadatkan
mutiara	mutiara
ainulbanat	ainulbanat
memperlambat	məmpərlambat
dimarahi	dimarahi
persediaan	pərsədiaʔan
menguasai	məŋuasai
comél	tʃomel
ulu	ulu
réktor	reʔtor
secina	sətʃina
senjang	səndʒaŋ
siap	siap
narasumber	narasumbər
menyerupakan	məɲərupakan
ulat	ulat
terbelingkang	tərbəliŋkaŋ
bincut	bintʃut
ketiak	kətiaʔ
gemilang	gəmilaŋ
tékpi	teʔpi
figur	figur
cengkeram	tʃəŋkəram
orbit	orbit
tepas	təpas
pendarah	pəndarah
komodor	komodor
agénsi	agensi
menajiskan	mənadʒiskan
kemuraman	kəmuraman
meninggalkan	məniŋgalkan
otomobil	otomobil
sebalik	səbaliʔ
bebotoh	bəbotoh
dampit	dampit
pemakaman	pəmakaman
dipertuan	dipərtuan
selepétan	sələpetan
céngbéng	tʃeŋbeŋ
dipetik	dipətiʔ
spékulasi	spekulasi
rinai	rinai
campung	tʃampuŋ
pedalaman	pədalaman
minimal	minimal
cekah	tʃəkah
memesatkan	məməsatkan
sesawi	səsawi
didiang	didiaŋ
béndi	bendi
ketaton	kətaton
pembatasan	pəmbatasan
tumpah	tumpah
kembut	kəmbut
bercakrawala	bərtʃaʔrawala
bitumén	bitumen
ayuman	ajuman
membanting	məmbantiŋ
seregu	sərəgu
pesenam	pəsənam
fotosintésis	fotosintesis
ana	ana
pengaduk	pəŋaduʔ
