adja	ɒ ɟː ɒ
admirális	ɒ d m i r aː l i ʃ
adomány	ɒ d o m aː ɲ
adományként	ɒ d o m aː ɲ k eː n t
alapanyag	ɒ l ɒ p ɒ ɲ ɒ ɡ
alkohol	ɒ l k o h o l
alkotó	ɒ l k o t oː
alsó	ɒ l ʃ oː
amaz	ɒ m ɒ z
amelyektől	ɒ m ɛ j ɛ k t øː l
atlantisz	ɒ t l ɒ n t i s
automatikus	ɒ u t o m ɒ t i k u ʃ
balázs	b ɒ l aː ʒ
bele	b ɛ l ɛ
beleszeretni	b ɛ l ɛ s ɛ r ɛ t n i
bemutatkozik	b ɛ m u t ɒ t k o z i k
beszélt	b ɛ s eː l t
bevonása	b ɛ v o n aː ʃ ɒ
beérkező	b ɛʲ eː r k ɛ z øː
bicikli	b i t͡s i ɡ l i
biológiai	b iʲ o l oː ɡ iʲ ɒʲ i
bizalmát	b i z ɒ l m aː t
biztosító	b i s t o ʃ iː t oː
boldog	b o l d o ɡ
boldogságot	b o l d o k ʃ aː ɡ o t
bor	b o r
boros	b o r o ʃ
borsot	b o r ʃ o t
brazília	b r ɒ z iː l iʲ ɒ
bár	b aː r
bármiféle	b aː r m i f eː l ɛ
bér	b eː r
bérek	b eː r ɛ k
béren	b eː r ɛ n
bért	b eː r t
börtönben	b ø r t ø m b ɛ n
családja	t͡ʃ ɒ l aː ɟː ɒ
csomagban	t͡ʃ o m ɒ ɡ b ɒ n
csoportosítás	t͡ʃ o p o r t o ʃ iː t aː ʃ
csípések	t͡ʃ iː p eː ʃ ɛ k
célja	t͡s eː jː ɒ
dinamikusan	d i n ɒ m i k u ʃ ɒ n
drámai	d r aː m ɒʲ i
egyetértés	ɛ ɟː ɛ t eː r t eː ʃ
egyidejűleg	ɛ ɟː i d ɛ j yː l ɛ ɡ
egymásra	ɛ ɟ m aː ʃ r ɒ
együttes	ɛ ɟː y tː ɛ ʃ
egészségügyi	ɛ ɡ eː ʃː eː ɡ y ɟ i
egészét	ɛ ɡ eː s eː t
eladási	ɛ l ɒ d aː ʃ i
