vedeckému	vˈedʲet͡skˌeːmu
stovkám	stˈowkaːm
funkčným	fˈuŋkt͡ʃniːm
Registračný	rˈeɡistrˌat͡ʃniː
rúškom	rˈuːʃkom
Tichý	tʲˈixiː
každoročné	kˈaʒdorˌot͡ʃneː
ateizmu	ˈatʲeˌizmu
hraniciam	hrˈaɲit͡siam
vykonávate	vˈikonˌaːvatʲe
máva	mˈaːva
evanjelického	ˈevanjˌelit͡skˌeːho
brazílskeho	brˈaziːlskˌeho
brnení	bˈr̩ɲeɲiː
skazy	skˈazi
Prikladám	prˈikladaːm
Lamači	lˈamat͡ʃi
bojovalo	bˈojovˌalo
hlasovú	hlˈasovuː
dostavbu	dˈostawbu
Death	dʲˈeatx
Belgicku	bˈelɡit͡sku
volám	vˈolaːm
tímovej	tˈiːmovej
Sýkoru	sˈiːkoru
Čerešňa	t͡ʃˈereʃɲa
Významné	vˈiːznamneː
bratranca	brˈatrant͡sa
políčko	pˈoliːt͡ʃko
Turecké	tˈuret͡skeː
evidovať	ˈevidˌovatʲ
Zlatan	zlˈatan
obálkou	ˈobaːlko͡ʊ
diely	dʲiˈeli
imúnny	ˈimuːnni
totálnej	tˈotaːlnej
rozmere	rˈozmere
odblokovanie	ˈodblokˌovaɲie
osív	ˈosiːw
psychologický	psˈixolˌoɡit͡skiː
bodová	bˈodovaː
Podpoľania	pˈotpoʎˌaɲia
vypočutí	vˈipot͡ʃˌutʲiː
Emotion	ˈemotʲˌion
vredov	vrˈedow
početné	pˈot͡ʃetneː
oxidácie	ˈoksidˌaːt͡sie
RAM	rˈam
nesúhlasila	ɲˈesuːhlˌasila
dochádzať	dˈoxaːd͡ʑatʲ
vysvetľuje	vˈisvetʎˌuje
Prevádzkovanie	prˈevaːt͡skˌovaɲie
generálna	ɡˈenerˌaːlna
disciplína	dˈist͡siplˌiːna
vysvedčenie	vˈisvett͡ʃˌeɲie
Chilli	xˈilli
šťastného	ʃtʲˈastneːho
Prsteň	pˈr̩stʲeɲ
pohármi	pˈohaːrmi
ustúpil	ˈustuːpil
busom	bˈusom
vlaňajšok	vlˈaɲajʃok
Verí	vˈeriː
komunálnymi	kˈomunˌaːlnimi
lisovania	lˈisovˌaɲia
inžinierskom	ˈinʒiɲiˌerskom
nemôže	ɲˈemuˌoʒe
prirody	prˈirodi
trpiace	tˈr̩piˌat͡se
narušenie	nˈaruʃˌeɲie
stehien	stʲˈehien
Pokoj	pˈokoj
Trojdnie	trˈojdɲie
Veľkých	vˈeʎkiːx
Skúška	skˈuːʃka
pitnej	pˈitnej
CenyNaDne	t͡sˈeninˈadɲe
kamarátkami	kˈamarˌaːtkami
architektovi	ˈarxitˌektovi
eshopu	ˈeshopu
metrom	mˈetrom
povahe	pˈovahe
kanadské	kˈanatskeː
Rómami	rˈoːmami
Generálneho	ɡˈenerˌaːlneho
podkroví	pˈotkroviː
Priznám	prˈiznaːm
Trojka	trˈojka
zvykať	zvˈikatʲ
zberu	zbˈeru
šampóny	ʃˈampoːni
tvorbu	tvˈorbu
vedieme	vˈedʲiˌeme
koši	kˈoʃi
gumených	ɡˈumeniːx
špagety	ʃpˈaɡeti
umývania	ˈumiːvˌaɲia
DPB	dˈeːpˌeːbˌeː
vrecúšok	vrˈet͡suːʃok
srsti	sˈr̩stʲi
doplnkovú	dˈopl̩ŋkˌovuː
orgazme	ˈorɡazme
vzájomné	vzˈaːjomneː
cloudových	t͡slˈo͡ʊdoviːx
dokončené	dˈokont͡ʃˌeneː
ignorovala	ˈiɡnorˌovala
referátu	rˈeferˌaːtu
palicami	pˈalit͡sˌami
modra	mˈodra
pomôže	pˈomuˌoʒe
povolaní	pˈovolˌaɲiː
robotu	rˈobotu
konvertovať	kˈonvertˌovatʲ
maturitných	mˈaturˌitniːx
pedagogickej	pˈedaɡˌoɡit͡skej
výdajov	vˈiːdajow
Connected	t͡sˈonɲet͡stʲet
KLASIK	klˈasik
obaja	ˈobaja
tmavom	tmˈavom
našepkáva	nˈaʃepkˌaːva
rezacie	rˈezat͡sie
Súboje	sˈuːboje
prinútila	prˈinuːtʲˌila
zadarí	zˈadariː
Svit	svˈit
urceny	ˈurt͡seni
Správnej	sprˈaːvnej
Odmena	ˈodmena
vyliečiť	vˈiliˌet͡ʃitʲ
slušnej	slˈuʃnej
vzdialené	vzdʲiˈaleneː
burger	bˈurɡer
infraštruktúra	ˈinfraʃtrˌuktuːra
obilia	ˈobilia
tuhosťou	tˈuhostʲo͡ʊ
testu	tˈestu
dress	drˈess
lampu	lˈampu
nepovedalo	ɲˈepovˌedalo
Mary	mˈari
vypadá	vˈipadaː
Tak¾e	tˈaktrˈiʃtvˈr̩tʲiniˈeː
namierené	nˈamiˌereneː
realizačné	rˈealˌizat͡ʃneː
Firmy	fˈirmi
pochopenie	pˈoxopˌeɲie
talentov	tˈalentow
zakreslené	zˈakreslˌeneː
nenechať	ɲˈeɲexatʲ
Filozof	fˈilozof
metalické	mˈetalˌit͡skeː
lyžičku	lˈiʒit͡ʃku
vedách	vˈedaːx
Najčastejším	nˈajt͡ʃastʲˌejʃiːm
erby	ˈerbi
Vyjadrili	vˈijadrˌili
Kristovo	krˈistovo
podielov	pˈodʲiˌelow
raj	rˈaj
volebný	vˈolebniː
administrácii	ˈadminˌistraːt͡sˌii
protestanti	prˈotestˌanti
Pedro	pˈedro
Báhoň	bˈaːhoɲ
zobrazenie	zˈobrazˌeɲie
extrémistom	ˈekstreːmˌistom
odberateľ	ˈodberˌatʲeʎ
Maple	mˈaple
laboratóriách	lˈaborˌatoːrˌiaːx
otáčok	ˈotaːt͡ʃok
experimentujú	ˈeksperˌimentˌujuː
nenáročné	ɲˈenaːrˌot͡ʃneː
supermarkete	sˈupermˌarketʲe
junioriek	jˈuɲiˌoriek
Tescoma	tʲˈest͡soma
záchrancu	zˈaːxrant͡su
Spánok	spˈaːnok
legálny	lˈeɡaːlni
oddych	ˈoddix
nadpisu	nˈatpisu
prehnala	prˈehnala
na¹im	najˈedenˈim
nezabudneme	ɲˈezabˌudɲeme
zdôrazňoval	zdˈuorˌazɲoval
bozku	bˈosku
zloží	zlˈoʒiː
chutia	xˈutʲia
Fengda	fˈeŋɡda
handričku	hˈandrit͡ʃku
Žarnovice	ʒˈarnovˌit͡se
Zverenec	zvˈereɲet͡s
Permanentný	pˈermanˌentniː
číreho	t͡ʃˈiːreho
