ସହଯୋଗୀ	sɔhɔd͡ʒogi
ବହିଟା	bɔhiʈaː
ଠାକୁର	ʈʰaːkuɾɔ
ଦ୍ଵାର	d̪uaːɾɔ
ଧାଡ଼ିଏ	d̪ʱaːɽie
ସହାୟକ	sɔhaːjɔkɔ
ଚୁଲିଟା	t͡ʃuliʈaː
ଚିକ୍	t͡ʃik
ଚଳିବାକୁ	t͡ʃɔl̪ibaːku
ରସାଳ	ɾɔsaːl̪ɔ
ଷଟକୋଣ	sɔʈɔkoɳɔ
ଭୁତାଣୁ	bʱut̪aːɳu
ଜୀବଟି	d͡ʒibɔʈi
ସକ	sɔkɔ
କୋଳରେ	kol̪ɔre
ଖୁବ୍	kʰub
ଚଷମାରେ	t͡ʃɔsɔmaːre
କରିଲେଣି	kɔrileɳi
କରାଇଥିଲେ	kɔraːit̪ʰile
ମୃତ୍ୟୁ	mrut̪ju
ଚାଲିପାରେ	t͡ʃaːlipaːre
ପହଁରୁ	pɔhɔ̃ru
ଚାହେଁ	t͡ʃaːhẽ
ସେଗୁଡାକ	seguɖaːkɔ
ଶୁଣେନି	suɳeni
ବୁଝିପାରୁଛି	bud͡ʒʱipaːrut͡ʃʰi
କବାଡ଼ିବାଲା	kɔbaːɽibaːlaː
ତୁଳନାରେ	t̪ul̪ɔnaːre
ଅବୋଧ	ɔbod̪ʱɔ
ଚାଲ	t͡ʃaːlɔ
ନଈକୂଳରେ	nɔikul̪ɔre
ମାସ	maːsɔ
ଅବସ୍ଥିତ	ɔbɔst̪ʰit̪ɔ
ବାଦଲଟିଏ	baːd̪ɔlɔʈie
ଝାଡ଼ଖଣ୍ଡ	d͡ʒʱaːɖɔkʰɔɳɖɔ
ନାଚିପାରେ	naːt͡ʃipaːre
ପୁଅ	puɔ
ମାହାତ୍ମାଗାନ୍ଧୀଙ୍କର	maːhaːt̪maːgaːnd̪ʱiŋkɔɾɔ
ପାଣି	paːɳi
ଗୁଳି	gul̪i
ବିତିଗଲା	bit̪iɡɔlaː
ଆଃ	aːh
ବଞ୍ଚିପାରନ୍ତି	bɔɲt͡ʃipaːɾɔnt̪i
ବିବାହ	bibaːhɔ
ହାଡ	haːɖɔ
ସମ୍ବଲପୁରୀ	sɔmbɔlɔpuri
ଲଗେଇଲା	lɔgeilaː
ବ୍ୟକ୍ତିଗଣ	bjɔkt̪iɡɔɳɔ
କାର୍ତ୍ତିକ	kaːrt̪t̪ikɔ
ମାନଙ୍କର	maːnɔŋkɔɾɔ
ଗୋଟିଏ	goʈie
ଆପତ୍ତି	aːpɔt̪t̪i
ଦୃଷ୍ଟି	d̪rusʈi
ବାହାଦୁରି	baːhaːd̪uri
ଗଛ	ɡɔt͡ʃʰɔ
ସିଲ୍	sil
ବିଚାରା	bit͡ʃaːraː
କନେକ୍ଟିକଟ	kɔnekʈikɔʈɔ
ମିଳି	mil̪i
ଖାଇଲାନି	kʰaːilaːni
ନବରାତ୍ରୀ	nɔbɔraːt̪ri
