dubhghall	d̪ˠʊwəl
olca	ʌlˠkə
méine	mʲeːnʲə
bpósfadh	bˠoːsˠətʲ
ádh	æː
glanadh	ɡl̪ˠɑn̪ˠəɡ
bogadh	bˠɔɡəvˠ
bod	bˠɔd̪ˠ
chucu	xuːxə
ardscoil	ɑːɾˠd̪ˠsˠkʌl
díomsa	dʲiːmˠsˠə
chuardaigh	xuəɾˠd̪ˠə
dúirt	d̪ˠuːɾʲtʲ
phianfadh	fʲiənˠhuː
ós	ɔːʃ
mhóir	woːɾʲ
chinn	çəiɲ
nbhur	n̪ˠuːɾˠ
tsíle	tʲiːlʲə
cónaigh	koːnˠiː
oraibh	ɞɾˠiː
deirfiúr	dʲɛɾʲəfʲaɾˠ
olc	ʌlˠk
chead	çad̪ˠ
gceann	ɟaun̪ˠ
cac	kɑk
spád	sˠpˠɑːd̪ˠ
claíomh	klˠiːvˠ
borb	bˠaɾˠəbˠ
scairt	sˠkaɾˠtʲ
abhras	əuɾˠəsˠ
áille	æːl̠ʲə
imithe	ɪmʲɪhɪ
galar	ɡɔlˠəɾˠ
caithfidh	kaɪhə
dhíobh	ɣiːbˠ
dall	d̪ˠɑːl̪ˠ
mise	mʲɪʃə
mhóir	wɔːɾʲ
mís	mʲiːʃ
fonn	fˠʌn̪ˠ
fuadh	fˠuəɡ
buail	bˠɔlʲ
easpag	æsˠpˠoːɡ
spreagadh	sˠpʲɾʲaɡuː
clathacha	kl̪ˠɑhəxə
seanscéal	ʃan̪ˠʃcial̪ˠ
maol	mˠiːlˠ
céim	ceːmʲ
d'fhill	dʲɪl̠ʲ
clocha	kl̪ˠɔxə
libhse	lʲɪvʲʃə
comhlacht	kɔːlˠaht̪ˠ
oileánach	ɛlʲænˠah
ceird	cəiɾˠdʲ
breab	bʲɾʲabˠ
tosaigh	t̪ˠɔsˠɪɟ
cille	cɪl̠ʲə
crochta	kɾˠʌxt̪ˠə
oscar	ʌsˠkəɾˠ
aimsir	amʲʃəɾʲ
feistigh	fʲɛʃtʲi
cnoc	kn̪ˠʊk
magadh	mˠaɡuː
aerga	eːɾˠɡə
chnoc	xɾˠɔk
soitheach	sˠəhax
agad	aɡəd̪ˠ
gcasadh	ɡasˠəx
múr	mˠuːɾˠ
daichead	d̪ˠahəd̪ˠ
maise	mˠaʃə
thoiligh	hʌlʲi
féar	fʲeːɾˠ
stiofán	ʃtʲʊfˠænˠ
déan	dʲɪn
slat	sˠl̪ˠat̪ˠ
ógánach	oːɡɑːnˠəx
beadh	bʲɛw
socraigh	sˠɔkɾˠɪɟ
cadhnra	kəinˠɾˠə
eatarthusan	aːt̪ˠɾˠəbˠsˠənˠ
leic	l̠ɛc
saoile	sˠiːlʲə
cosán	kəsˠɑːn̪ˠ
phálás	fˠɑːlˠɑːsˠ
fúm	fˠuːmˠ
iarsmalann	iəɾˠsˠmˠəlˠən̪ˠ
bromach	bˠɾˠəmˠɑx
bú	bˠuː
bacach	bˠakəx
tosaí	t̪ˠəsˠiː
fheiceanna	ɛcən̪ˠə
áisiúil	aːʃuːlʲ
fiodh	fʲɪ
lím	l̠ʲiːmʲ
troigh	t̪ˠɾˠɔ
tuilleadh	t̪ˠɪlʲə
arc	aɾˠk
caor	kiːɾˠ
feiliúint	fʲɪlʲuːnʲtʲ
sheaicéad	hæːceːd̪ˠ
cuimhnigh	kiːnʲɪɟ
altadh	al̪ˠt̪ˠə
seám	ʃaːmˠ
saoradh	sˠeːɾˠəɡ
aire	æɾʲə
ceathrú	cæɾˠuː
dara	d̪ˠaɾˠə
gcurach	ɡʊɾˠəx
téanam	tʲeːnˠəmˠ
cloigeann	klˠɛɟən̪ˠ
