អាង	ʔaaŋ
ម្យ៉ាង	myaaŋ
យឺត	yɨɨt
ពេលល្ងាច	peellŋiec
ផ្ទេរ	ptee
ករណី	kaʔraʔnəy
អាហ្នឹង	ʔaanɨŋ
ចុកពោះ	cokpʊəh
ក្មេង	kmeeŋ
ក្រញូវ	krɑɲəv
ស្មាតហ្វូន	smaatfoun
ឡាវ	laav
ចែក	caek
ឬ	rɨɨ
កាក់	kak
តេឡេ	teelee
ខាង	kʰaaŋ
តាំងពី	taŋpii
ថ្មើរជើង	tmaəcəəŋ
បុព្វការី	boppeaʔkaarəy
ចូលហ៊ុន	coulhun
ចំណីអាហារ	cɑmnəyʔaahaa
អឺអើ	ʔəɨʔaə
អឹម	ʔəm
ដំឡើង	dɑmlaəŋ
ស្មា	smaa
ដូចជា	douccie
ចុះបើ	cohbaə
រក្សា	reaksaa
ប្រូតេអ៊ីន	prouteeʔiin
លើក	lǝǝk
ទោស	tooh
ព្រុស	pruh
ពោត	poot
អ៎	ʔɑɑ
អ្វីមួយ	ʔvǝymuǝy
សរសេរ	sɑɑsee
កំប្លេ	kɑmplee
កប៉ាល់	kaʔpal
ចាក់សោរក	caksaorɔɔk
បន្ទាប់មក	bɑntoapmɔɔk
ផ្លូវទឹក	pləvtɨk
ត្រួត	truət
ចុក	cok
បួង	buəŋ
សម្រេចចិត្ត	sɑmraccət
បូរ៉ា	bouraa
ហាត់	hat
ងូតទឹក	ŋuuttɨk
រៀបរយ	riəprɔɔy
រលាយ	rɔliey
រៀន	riən
កូកា	koukaa
ចូលលុយគ្នា	coulluyknie
សំយុង	sɑmyoŋ
ប៉ែក	paek
រាយប៉ាយ	rieypaay
ហក់	hɑk
កណ្ណិកា	kɑnəkaa
ការ	kaa
ក្បាលជង្គង់	kbaalcʊəŋkʊəŋ
បុណ្យទាន	bontien
បងប្រុស	bɑɑŋproh
ស័ក្ដិសិទ្ធិ	saksət
កៀប	kiəp
ហ៊ើយ	hǝǝy
បឹង	bəŋ
ត្រង់ណា	trɑŋnaa
កម្ពុជាក្រោម	kampuʔciekraom
ខ្មោច	kmaoc
សិង	səŋ
ស្រក	srɑɑk
ដាំ	dam
ដុសធ្មេញ	dohtmɨɲ
យ៉ាប់	yap
ចម្រៀង	cɑmriəŋ
កម្រ	kɑmrɑɑ
ស្ករ	skɑɑ
ដាក់គ្នា	dakknie
រីផត	riipʰɑɑt
តួ	tuə
ណា	naa
សាល	saal
រូបគំនូរ	ruupkumnuu
ចិត្តល្អ	cətlʔɑɑ
អាវយឺត	ʔaavyɨɨt
ជនបរទេស	cɔɔnbɑɑrəteeh
ប៉ុណ្ណឹង	ponnəŋ
វត្តភ្នំ	voatpnum
មធ្យម	matyum,meaʔtyum
កាត់បន្ថយ	katbɑntʰɑɑy
ទំនេរ	tumnee
សុខទុក្ខ	soktuk
ឆាប់	cʰap
រាត្រី	rietrəy
ច្រូតស្រូវ	croutsrǝv
ម៉ាឃីតធីង	maakʰiitʰiiŋ
វៀល	viəl
ពងក្រពើ	pɔɔŋkrɑpəə
សម្ភារៈ	sɑmpʰiereaʔ
គ្រង	krɔɔŋ
កួច	kuəc
អូតែល	ʔoutael
ឈឺពោះ	cʰɨɨpʊəh
តាក់ស៊ី	taksii
ស្រោមជើង	sraomcəəŋ
ញី	ɲii
ថាឲ្យ	tʰaaʔaoy
ទីទៃ	tiitey
ខ	kʰɑɑ
ច្រៀង	crieŋ
ទាក់ទង	teaktɔɔŋ
ផ្សាររាត្រី	psaarietrəy
គ្រប់កន្លែង	krupkɑnlaeŋ
ជូត	cuut
ផ្ទុយ	ptuy
ស្វាគមន៍	svaakum
ដូនតា	dountaa
ប្រសក	prɑsɑk
វិចិត្រ	viʔcət
ទទួលយក	tɔtuəlyɔɔk
ប្រល័យ	prɑlay
អត់កើត	ʔɑtkaət
ទុយោ	tuyoo
អាទិត្យ	ʔaatɨt
យោក	yook
ជាមួយគ្នា	ciemuəyknie
អត់អីអេ	ʔɑtʔəyʔee
ដែក	daek
ពីព្រោះ	piiprʊəh
ប៉ា	paa
រ៉ូប៊ីនេទឹក	roubiineetɨk
សារជាតិ	saaraʔciet
ពូត	puut
ដំណើរ	dɑmnaə
បង	bɑɑŋ
សុខចិត្ត	sokcət
ការងារ	kaaŋie
តា	taa
ភាគី	pʰiekii
រងើកភ្លើង	rɔŋəəkpləəŋ
អ៊ីម៉ែល	ʔiimael
អាស៊ី	ʔaazii
ធម្មតា	tʰoammeaʔtaa
ទូន្មាន	tuulmien,tuunmien
ម្យ៉ាងវិញទៀត	myaaŋvɨɲtiət
ប្រាក់រាយ	prakriey
ធ្មឹង	tmɨŋ
បន្ទប់ទឹក	bɑntuptɨk
ដេញដោល	dəɲdaol
ទីរួមខេត្ត	tiiruəmkʰaet
