experimentar	iʃpɨɾimẽtaɾ
assassínio	ɐsɐsinju
função	fũsɐ̃w̃
concelho	kõsejʎu
caos	kawʃ
quadra	kwaðɾɐ
assistência	ɐsiʃtẽsjɐ
desmanchar	dɨʒmɐ̃ʃaɾ
amigar	ɐmiɣaɾ
reunir	ʁjuniɾ
escovar	iʃkuvaɾ
evaporar	ivɐpuɾaɾ
divisão	divizɐ̃w̃
bermudas	bɨɾmuðɐʃ
monstro	mõʃtɾu
depois	dɨpojʃ
seca	sɛkɐ
esquerdo	iʃkeɾðu
fafe	fafɨ
sexto	sejʃtu
lesto	lɛʃtu
enquadramento	ẽkwɐðɾɐmẽtu
ganhador	ɡɐɲɐðoɾ
cheirar	ʃɐjɾaɾ
fazia	fɐziɐ
padroeiro	pɐðɾwɐjɾu
ouvirá	owviɾa
exclamar	ɐjʃklɐmaɾ
leira	lɐjɾɐ
espantado	iʃpɐ̃taðu
brejeirar	breʒejɾaʁ
carro	kaʁu
finalizar	finɐlizaɾ
generoso	ʒɨnɨɾozu
uretra	uɾɛtɾɐ
escrotal	ɨʃkɾutaɫ
alface	aɫfasɨ
coisas	kojzɐʃ
precedente	pɾɨsɨðẽtɨ
nóbrega	nɔbɾeɡa
distribuição	dɨʃtɾiβwisɐ̃w̃
laico	lajku
trafalgar	tɾɐfɐlɣaɾ
observação	ɔbsɨɾvɐsɐ̃w̃
estrelas	ɨʃtɾelɐʃ
dignificar	diɣɨnifikaɾ
pimento	pimẽtu
seja	seʒɐ
saltar	saɫtaɾ
cagueta	kaɡweta
verme	vɛɾmɨ
substância	subʃtɐ̃sjɐ
astro	astɾu
missa	misɐ
abaxial	ɐβɐksjal
medidor	mɨðiðoɾ
arau	ɐɾaw
tivera	tivɛɾɐ
doninha	dɔniɲɐ
alcateia	aɫkɐtɐjɐ
gaio	ɡaju
aprazível	ɐpɾɐzivɛɫ
vermelha	vɨɾmɐʎɐ
ataque	ɐtakɨ
lusitano	luzitɐnu
tratamento	tɾɐtɐmẽtu
venial	vɨnjaɫ
hóplon	ɔplõ
casebre	kɐzɛβɾɨ
regime	ʁɨʒimɨ
aconselhado	ɐkõsɨʎaðu
geral	ʒɨɾaɫ
calar	kɐlaɾ
despesas	dɨʃpezɐʃ
debuxar	dɨβuʃaɾ
olha	ɔʎɐ
tipo	tipu
interiorano	ĩteɾjoɾɐnu
natural	nɐtuɾaɫ
voltava	voɫtavɐ
contramestre	kõtɾɐmɛʃtɾɨ
itália	italjɐ
direito	diɾɐjtu
desfazer	dɨʃfɐzeɾ
salão	sɐlɐ̃w̃
aclarar	ɐklɐɾaɾ
catita	kɐtitɐ
gondomar	ɡõdumaɾ
arte	aɾtɨ
neri	neɾi
desmaiar	dɨʒmajaɾ
viandante	vjɐ̃dɐ̃tɨ
brigada	bɾiɣaðɐ
espaço	iʃpasu
untar	ũtaɾ
umbral	ũbɾaɫ
sapateado	sɐpɐtjaðu
violeta	vjuletɐ
czar	tsaɾ
gaivota	ɡajvɔtɐ
soube	sowβɨ
camisa	kɐmizɐ
sexual	sɛkswaɫ
sacrifício	sɐkɾifisju
epigenia	epiʒenia
formoso	fuɾmozu
simulacro	simulakɾu
autor	awtoɾ
crica	kɾika
cujo	kuʒu
outro	owtɾu
castelhano	kɐʃtɨʎɐnu
camada	kɐmadɐ
matador	mɐtɐðoɾ
mourisco	mowɾiʃku
ruas	ʁuɐʃ
torta	tɔɾtɐ
desligar	dɨʒliɣaɾ
xilindró	ʃilĩdɾɔ
pronúncia	pɾunũsjɐ
papoula	pɐpowlɐ
citado	sitadu
morta	mɔɾtɐ
totais	totajʃ
pimenta	pimẽtɐ
feudal	fewðaɫ
interesseiro	ĩteɾesejɾu
tordo	toɾdu
olhe	ɔʎɨ
batina	bɐtinɐ
gaiato	ɡajatu
nasceu	nɐʃsew
importante	ĩpuɾtɐ̃tɨ
aturar	atuɾaʁ
afonso	ɐfõsu
faca	fakɐ
trisavô	tɾizɐvo
segurar	sɨɣuɾaɾ
juliet	ʒuliɛtʃi
vaidoso	vajðozu
fotografia	futuɣɾɐfiɐ
vulgo	vuɫɣu
excelência	iʃsɨlẽsjɐ
ervilha	iɾviʎɐ
á	a
golo	ɡɔlu
cansaço	kɐ̃sasu
tareco	tarɛku
cinco	sĩku
