tříštěn	tr̝̊iːʃcɛn
duhám	duɦaːm
nevyhnutelnost	nɛvɪɦnutɛlnost
doje	dojɛ
nepálka	nɛpaːlka
bohem	boɦɛm
klubíčko	klubiːt͡ʃko
levhart	lɛvɦart
běhům	bjɛɦuːm
plynný	plɪniː
velíte	vɛliːtɛ
veslům	vɛsluːm
návrh	naːvr̩x
ambulance	ambulant͡sɛ
režisérka	rɛʒɪsɛːrka
přehánění	pr̝̊ɛɦaːɲɛɲiː
dáme	daːmɛ
fosfor	fosfor
připisovat	pr̝̊ɪpɪsovat
půltón	puːltoːn
navlhčit	navl̩xt͡ʃɪt
skopové	skopovɛː
průser	pruːsɛr
zvětšenina	zvjɛtʃɛɲɪna
stejnopis	stɛjnopɪs
hádavost	ɦaːdavost
pracháč	praxaːt͡ʃ
hyení	ɦɪjɛɲiː
roztříštit	rostr̝̊iːʃcɪt
polyteista	polɪtɛɪsta
bylinný	bɪlɪniː
sedmdesátina	sɛdm̩dɛsaːcɪna
žezlo	ʒɛzlo
opatrnost	opatr̩nost
protiklad	procɪklat
liste	lɪstɛ
kile	kɪlɛ
populace	populat͡sɛ
ačkoliv	at͡ʃkolɪf
rýží	riːʒiː
prašivec	praʃɪvɛt͡s
brašnička	braʃɲɪt͡ʃka
slezan	slɛzan
všelijaký	fʃɛlɪjakiː
osině	osɪɲɛ
tchán	txaːn
bzdít	bzɟiːt
dobytčí	dobɪt͡ʃiː
vzavši	vzafʃɪ
příčit	pr̝̊iːt͡ʃɪt
mýtus	miːtus
nahodile	naɦoɟɪlɛ
štěstí	ʃcɛsciː
úplněk	uːpl̩ɲɛk
obrácený	obraːt͡sɛniː
nevrlý	nɛvr̩liː
úleva	uːlɛva
vykloubit	vɪklou̯bɪt
křečkovat	kr̝̊ɛt͡ʃkovat
tle	tlɛ
interval	ɪntɛrval
sklivec	sklɪvɛt͡s
komentátorka	komɛntaːtorka
sprchovat	spr̩xovat
citům	t͡sɪtuːm
studu	studu
herpes	ɦɛrpɛs
prso	pr̩so
háji	ɦaːjɪ
cucat	t͡sut͡sat
mužem	muʒɛm
čteme	t͡ʃtɛmɛ
abdikovat	abdɪkovat
kůrech	kuːrɛx
zákonitě	zaːkoɲɪcɛ
poklopec	poklopɛt͡s
nadchnout	natxnou̯t
citrát	t͡sɪtraːt
mikroskop	mɪkroskop
chrnět	xr̩ɲɛt
žentour	ʒɛntou̯r
cembalo	t͡sɛmbalo
obranu	obranu
liběnin	lɪbjɛɲɪn
paternalismus	patɛrnalɪzmus
bzučák	bzut͡ʃaːk
melou	mɛlou̯
viseli	vɪsɛlɪ
zčistajasna	st͡ʃɪstajasna
učebnicový	ut͡ʃɛbɲɪt͡soviː
veška	vɛʃka
lesa	lɛsa
účelový	uːt͡ʃɛloviː
smilnit	smɪlɲɪt
voláme	volaːmɛ
silám	sɪlaːm
radovánky	radovaːŋkɪ
plech	plɛx
schneš	sxnɛʃ
vědrech	vjɛdrɛx
ďoura	ɟou̯ra
špulka	ʃpulka
raf	raf
žloutek	ʒlou̯tɛk
antika	antɪka
plazi	plazɪ
smluvní	sm̩luvɲiː
datlího	datliːɦo
malomyslnost	malomɪsl̩nost
podprsenka	potpr̩sɛŋka
neslyšněji	nɛslɪʃɲɛjɪ
sídel	siːdɛl
dezinfekční	dɛzɪnfɛkt͡ʃɲiː
věčnost	vjɛt͡ʃnost
hoře	ɦor̝ɛ
důchodkyně	duːxotkɪɲɛ
šilhavost	ʃɪlɦavost
šlí	ʃliː
pronajímatel	pronajiːmatɛl
křepelka	kr̝̊ɛpɛlka
kameníčkův	kamɛɲiːt͡ʃkuːf
obviňovat	obvɪɲovat
ponocujíc	ponot͡sujiːt͡s
terabajt	tɛrabajt
delfíní	dɛlfiːɲiː
světlanka	svjɛtlaŋka
jonášek	jonaːʃɛk
razily	razɪlɪ
masturbace	masturbat͡sɛ
kaple	kaplɛ
čelilo	t͡ʃɛlɪlo
vodami	vodamɪ
houbařit	ɦou̯bar̝ɪt
rétor	rɛːtor
solit	solɪt
voleni	volɛɲɪ
formulovat	formulovat
sedinka	sɛɟɪŋka
neštěstí	nɛʃcɛsciː
vencl	vɛnt͡sl̩
napodobenina	napodobɛɲɪna
perzekuce	pɛrzɛkut͡sɛ
zděř	zɟɛr̝̊
hnut	ɦnut
zápal	zaːpal
sáno	saːno
zubař	zubar̝̊
myška	mɪʃka
běhy	bjɛɦɪ
řekni	r̝ɛkɲɪ
imbecilní	ɪmbɛt͡sɪlɲiː
sympatizant	sɪmpatɪzant
vešla	vɛʃla
rozen	rozɛn
karikovat	karɪkovat
packách	pat͡skaːx
patru	patru
roje	rojɛ
emfyzém	ɛmfɪzɛːm
akcelerovat	akt͡sɛlɛrovat
stihl	scɪɦl̩
záchranářský	zaːxranaːr̝̊skiː
rovněž	rovɲɛʃ
lemur	lɛmur
rybářský	rɪbaːr̝̊skiː
riskovat	rɪskovat
nesporný	nɛsporniː
decimetr	dɛt͡sɪmɛtr̩
formaldehyd	formaldɛɦɪt
pahorkatina	paɦorkacɪna
marx	marks
kosit	kosɪt
modlo	modlo
veky	vɛkɪ
úda	uːda
ajmarština	ajmarʃcɪna
poutníkův	pou̯tɲiːkuːf
posílit	posiːlɪt
salvádor	salvaːdor
serouce	sɛrou̯t͡sɛ
agronom	aɡronom
falšovatel	falʃovatɛl
aška	aʃka
zůstatek	zuːstatɛk
repatriace	rɛpatrɪat͡sɛ
oceňovat	ot͡sɛɲovat
nejlíp	nɛjliːp
reakce	rɛakt͡sɛ
blondýna	blondiːna
zubačka	zubat͡ʃka
rákosník	raːkosɲiːk
síti	siːcɪ
domům	domuːm
knihtisk	kɲɪxcɪsk
průzkum	pruːskum
tělem	cɛlɛm
jimiž	jɪmɪʃ
lovkyně	lofkɪɲɛ
losy	losɪ
králíček	kraːliːt͡ʃɛk
dvoukomorový	dvou̯komoroviː
koši	koʃɪ
supremum	suprɛmum
angolský	aŋɡolskiː
stvrzen	stvr̩zɛn
nejnenápadnější	nɛjnɛnaːpadɲɛjʃiː
vendula	vɛndula
pečou	pɛt͡ʃou̯
imago	ɪmaɡo
protáhnout	protaːɦnou̯t
demise	dɛmɪsɛ
šilhavý	ʃɪlɦaviː
představovat	pr̝̊ɛtstavovat
nehoda	nɛɦoda
žandár	ʒandaːr
hádáš	ɦaːdaːʃ
medúza	mɛduːza
inflační	ɪnflat͡ʃɲiː
rozepře	rozɛpr̝̊ɛ
sahala	saɦala
klečí	klɛt͡ʃiː
židy	ʒɪdɪ
plašit	plaʃɪt
tanzánec	tanzaːnɛt͡s
párá	paːraː
mlčet	ml̩t͡ʃɛt
blít	bliːt
pásli	paːslɪ
dýchací	diːxat͡siː
bystřina	bɪstr̝̊ɪna
vydro	vɪdro
upřesnit	upr̝̊ɛsɲɪt
nájem	naːjɛm
dmychadlo	dmɪxadlo
ber	bɛr
zahnu	zaɦnu
nitích	ɲɪciːx
šikanovat	ʃɪkanovat
žita	ʒɪta
mizte	mɪstɛ
zhoršovat	zɦorʃovat
exponovat	ɛksponovat
povýšený	poviːʃɛniː
fráze	fraːzɛ
zlomit	zlomɪt
samou	samou̯
