རྫོང་ཁ	*rd͡zoŋkʰa
དཔལ་ལྡན	*tpalldan
རང་རྟོགས	*raŋrtoks
ཆ	*t͡ɕʰa
དགེ་ལུགས་པ	ki˩˧lu˥˩pəˑ
ལྷོ	ɬo˥˥
སྤྲུལ་པ	*sprulpa
འཁྲིད་སྟོན	ʈ͡ʂʰi˩˧tʰø̃ˑ
ར	*ra
བདུན	den˩˧
ཁང་པ	kʰaŋ˥˥pa˥˥
བགོད	*bɡot
ཀྲུང་གོ	ʈ͡ʂuŋ˥˥ko˥˥
འགོག	*ᵑɡok
མིག་དམར	miː˩˧maː˥˥
ཀླད	*klat
རྐང་པ	rkoŋŋwa
མངའ་ཐང	*mŋaɣtʰaŋ
དར་ཆ	tʰaːɹ˩˧t͡ɕaˑ
དྲུག་ཅུ	*drukt͡ɕu
བོད་བརྒྱུད་ནང་བསྟན	*botbrɡʲutnaŋpstan
རྡོ	*rdo
ཁོ	kʰo˥˥
སྦྱོར་ཀློག	t͡ɕaː˩˧lo˥˩
གྲང་མོ	ʈ͡ʂʰəŋ˩˧ŋu˥˥
འཇིག	ɕi˩˧˨
ཉར	ȵaː˩˧
གཟའ་པ་སངས	sa˩˧pa˥˥saŋ˥˩
རབས	ʐəp̚˩˧˨
དྲུག	ʈ͡ʂək
བྱ་གཏོར	*bʲaktor
ཁྲེ	ʈ͡ʂʰe˥˥
འཇའ	t͡ɕa˩˧
བྱང	wɕaŋ
ཝ་མོ	waː˥˥mo˩˧
སྒྲིག	*zɡrik
མེ་ཏོག	me˩˧to˥˩
ཆོས་སྐད	t͡ɕʰøː˥˥kɛː˥˩
རྐྱལ་རྒྱག	*rkʲalrɡʲak
རྟགས་མ	*rtaksma
གཅིག	ɣt͡ɕek
སིལ་ར	siː˥˥ʐa˩˧
སྒང་ཐོག	*zɡaŋtʰok
ཁ་བཏགས	kʰa˥˥ta˥˩
ལྷ་མོ	*l̥amo
རྒལ	kɛː˩˧
སྟོན་ཀ	tø̃˥˥ka˥˥
ཐང་ཤིང	*tʰaŋɕiŋ
རླབས་ཆེན	*rlapst͡ɕʰen
ཤ	*ɕa
མོ	mo˩˧
དགོན་པ	*dɡonpa
ཆུ་ཤེལ	*t͡ɕʰuɕel
རིགས་རྒྱུད	ʐik̚ˀ˩˧cyː˥˩
སློབ་ཁང	lop̚˥˥kʰaŋ˥˥
རྔུལ	ŋy˥˥
སློབ་གྲྭ	lap̚˥˥ʈ͡ʂa˥˥
ཕུར་བུ	*pʰurbu
འགྲེང་བུ	nzheŋ˩˧pʰu˩˧
ཀྲོ་མ་ཀྲུ	ʈ͡ʂu˥˥maː˥˥ʈ͡ʂuˑ
ཐེབས	tʰe˥˩
ཐུང་ཐུང	*tʰuŋtʰuŋ
བུམ་པ	*bumpa
ཤིང་བརྐོས	*ɕiŋprkos
