caixilho	kajʃiʎu
navio	naviju
alcateia	awkatɛja
irmão	iʁmɐ̃w̃
arruaça	aʁuasa
raposa	hapozɐ
tímido	t͡ʃimidu
credor	kɾedoɾ
mengão	mẽɡɐ̃w̃
curso	kuʁsu
contramestra	kõtɾamɛʃtɾa
ocarina	okɐɾinɐ
mercadológico	meʁkadolɔʒiku
extremenho	estɾemeɲu
cuiabá	kujaba
exterior	esteɾioʁ
central	sẽtɾaw
melhor	meʎɔʁ
lepra	lɛpɾa
socialista	sosialiʃtɐ
adolescência	adulesẽsiɐ
deficitário	defisitarju
guiana	ɡujɐnɐ
bonachão	bonaʃɐ̃w̃
veia	vejɐ
impacto	ĩpakitu
apanhado	apɐɲadu
atarracado	ataʁakadu
varapau	vaɾapaw
homem	omẽj̃
íeis	iejs
empunhar	ẽpuj̃aɾ
trabuco	tɾabuku
cereal	seɾeaw
negócio	neɡɔsjo
estatuto	estatutu
otimista	ot͡ʃimistɐ
sobejo	sobeʒu
glasgow	ɡlazɡow
deturpação	detuɾpasɐ̃w̃
descida	desida
anexo	ɐnɛksu
cotovia	kotoviɐ
apreço	apɾesu
boné	bonɛ
dentadura	dẽtaduɾɐ
tanso	tɐ̃su
viajar	vjaʒaʁ
incomparável	ĩkõpaɾavew
ucraniano	ukɾɐnjɐnu
os	us
fobia	fobia
penal	penaw
extinção	est͡ʃĩsɐ̃w̃
prémio	pɾemio
uirapuru	ujɾapuɾu
cinquenta	sĩkwẽtɐ
incolumidade	ĩkolumidadʒi
dalguma	dawɡuma
mesona	mezonɐ
sendo	sẽdu
ajudar	aʒudaʁ
vigente	viʒẽt͡ʃi
madrasta	madɾastɐ
pelourinho	pelowɾiɲu
veado	viadu
roma	ʁomɐ
deterioração	deteɾioɾasɐ̃w̃
terror	teʁoʁ
indo	ĩdu
crossa	kɾɔsa
bienal	bienaw
exsurgir	esuɾʒiɾ
amassar	amasaʁ
sempre	sẽpɾe
viking	vikĩ
segunda	seɡũdɐ
fluxo	fluksu
seriar	seɾiaʁ
patológica	patolɔʒikɐ
afeição	afejsɐ̃w
vermelho	veɹmeʎʊ
catastrófica	katastɾɔfikɐ
internacional	ĩteɻnasionaw
fumo	fumu
roda	ʁɔdɐ
somos	sõmus
salva	sawvɐ
sapão	sapɐ̃w̃
químico	kimiku
presunçoso	pɾezũsozu
nascituro	nasituɾu
objeto	obiʒɛto
partir	pahtih
paletó	palitɔ
kosovo	kozovu
orquídea	ɔʁkidiɐ
verdadeiro	veɾdadejɾo
anão	anɐ̃w̃
oca	ɔkɐ
vestuário	vestuaɾiu
molhadela	moʎadɛla
orgia	oʁʒia
regímen	ʁeʒimẽj̃
privilégio	pɾivilɛʒju
intenção	ĩtẽsɐ̃w̃
gravata	ɡɾavatɐ
goiaba	ɡojaba
enquanto	ẽkwɐ̃tu
migué	miɡɛ
estágio	estaʒju
entalhe	ẽtaʎi
pelúcia	pelusja
fava	favɐ
produto	pɾodutu
adaptação	adapitasɐ̃w̃
suarabácti	swaɾabakt͡ʃi
terrorista	teʁoɾistɐ
mongólia	mõɡɔljɐ
zelha	zeʎɐ
fornecer	foʁneseʁ
rola	ʁɔla
noticiário	not͡ʃisiaɾju
constar	kõstaʁ
valor	valoʁ
desalojado	dezaloʒadu
músico	muziku
mesosfera	mezosfɛɾa
wolf	vowf
restringir	ʁestɾĩʒiɹ
psicanálise	pisikanalizi
vanglória	vɐ̃ɡlɔɾiɐ
ensinamento	ẽsinamẽtu
marxista	maɾksista
bacon	bejkõ
feitiço	fejt͡ʃisu
pare	paɾi
erguer	eʁɡeʁ
juramento	ʒuɾɐmẽtu
ira	iɾɐ
secretária	sekɾetaɾjɐ
bope	bɔpi
bósnia	bɔzniɐ
animal	ɐnimaw
coragem	koɾaʒẽj̃
xereca	ʃeɾɛka
cores	koɾis
calgary	kawɡaɾi
berilo	beɾilu
existir	ezijʃt͡ʃiχ
conciliar	kõsiljaɾ
molhadura	moʎaduɾɐ
desidratação	dezidɾatasɐ̃w̃
banana	bɐnɐnɐ
albânia	awbanjɐ
vancouver	vɐ̃kuveʁ
bélico	bɛliku
deia	dɛjɐ
tântalo	tɐ̃talu
pendão	pẽdɐ̃w̃
árbitro	aʁbitɾu
alicatear	alikateaɾ
improvável	ĩpɾovavew
miríade	miɾiad͡ʒi
experto	espɛʁtu
anita	ɐnitɐ
família	fɐmiʎɐ
ester	estɛʁ
papel	papɛw
fisgada	fizɡadɐ
sujeira	suʒejɾa
espinha	espiɲɐ
passeata	pasiatɐ
coleção	kolesɐ̃w̃
poucos	powkus
dita	dʒitɐ
formar	foʁmaʁ
crush	kɾɐʃ
forçado	foɾsadu
prejudicar	pɾeʒudʒikaʁ
acostumar	akostumaʁ
egoísta	eɡoistɐ
viajar	viaʒaʁ
parado	paɾadu
sacudir	sakudʒiɾ
boeing	bɔj̃ɡ
três	tɾejs
coice	kojsi
trotskismo	tɾɔtʃkiʃmu
jorna	ʒɔʁna
convênio	kõvẽnju
meta	mɛtɐ
uso	uzu
mesóclise	mezɔklizi
molho	moʎu
camerlengo	kameʁlẽɡu
checagem	ʃekaʒẽ
caçada	kasadɐ
amigo	amiɡu
quiçá	kisa
pipoca	pipɔkɐ
transitar	tɾɐ̃zitaʁ
inviabilidade	ĩviabilidadʒi
conexão	koneksɐ̃w̃
zoom	zũ
subvencionar	subvẽsɐ̃w̃
errar	eʁaʁ
nervosa	neʁvɔzɐ
cuia	kuja
quintino	kĩt͡ʃinu
almoçar	awmosaʁ
tombar	tõbaɾ
idealização	idealizasɐ̃w̃
croissant	kɾoasɐ̃
maça	masɐ
ovário	ovaɾju
aflijamos	afliʒɐmus
rifa	ʁifɐ
constância	kõʃtɐ̃siɐ
incesto	ĩsestu
auxílio	awsilju
pretender	pɾetẽdeʁ
psiquiatra	pisikiatɾɐ
palmeira	pawmejɾɐ
libélula	libɛlulɐ
pacóvio	pakɔvju
anchovado	ɐ̃ʃovadu
lixo	liʃu
qualitativa	kwalitat͡ʃivɐ
território	tiɦitɔɾju
objeto	obʒɛto
abandonado	abɐ̃donadu
virgem	viɦʒẽj̃
resultado	ʁezuwtadu
débito	dɛbitu
nilo	nilu
proteger	pɾoteʒeʁ
marionete	maɾjonɛt͡ʃi
tropical	tɾopikaw
magia	maʒia
distinção	distĩsɐ̃w̃
causa	kawzɐ
escritório	eskɾitɔɾjo
mar	maɾ
alunas	alũnɐs
idiota	id͡ʒjɔtɐ
gatilho	ɡat͡ʃiʎo
loureiro	lowɾejɾu
estio	iʃtʃiu
contanto	kõtɐ̃tu
pátria	patɾjɐ
varejista	vaɾeʒiʃtɐ
replica	ʁeplikɐ
temperatura	tẽpeɾatuɾɐ
remédio	hemɛd͡ʒjo
anastácio	anastasju
gaitar	ɡajtaɾ
suporte	supɔɻte
pança	pɐ̃sa
visita	vizitɐ
espetar	espetaʁ
lameira	lamejɾɐ
tais	tajʃ
bondoso	bõdozu
datiloscopia	dat͡ʃiloʃkopiɐ
gadanha	ɡadɐɲɐ
desenrascanço	dezẽj̃ʁaʃkɐ̃su
bluetooth	blutu
nè	nɛ
leonor	lewnoʁ
observar	obseɹvaɹ
abacateiro	abakatejɾo
ascenso	asẽsu
segue	sɛɡi
sindicato	sĩd͡ʒikatu
vestimenta	vest͡ʃimẽtɐ
seção	sesɐ̃w̃
álcool	awkɔw
prataria	pɾataɾia
haia	ajɐ
tradição	tɾadʒisɐ̃w̃
ésquilo	ɛskilu
sestro	sɛʃtɾu
possa	pɔsɐ
virgem	viɹʒẽj̃
aporrinhação	apohiɲasɐ̃w̃
futebolista	futebolista
finalização	finalizasɐ̃w̃
criptoanálise	kɾiptoanalizi
médio	mɛdʒiw
mandar	mɐ̃daχ
las	lɐʃ
cisco	sisku
acho	aʃu
caos	kaws
pedreiro	pedɾejɾu
altera	aɫtɛɾa
euro	ewɾu
boboca	bobɔka
drácula	dɾakulɐ
sebo	sebu
pode	pɔd͡ʒi
sobre	sɔbɾi
alegrete	aleɡɾet͡ʃi
metade	metade
garantir	ɡaɾɐ̃tʃiʁ
jihad	ʒiʁad
costa	kɔstɐ
socialismo	sosjaliʒmu
comunicar	komunikaʁ
câmara	kɐmaɾa
quadrada	kwadɾada
manobra	mɐnɔbɾɐ
saber	sabeɹ
sermos	seɾmus
idôneo	idonju
arcano	aʁkɐnu
impaciente	ĩpasjẽt͡ʃi
nele	nele
externo	estɛʁnu
tarrafa	taʁafa
seriado	seɾiadu
tael	taɛw
eles	eles
jogo	ʒoɡo
mô	mo
conferir	kõfeɾiʁ
duque	duki
individual	ĩd͡ʒividuaw
cospe	kɔspi
aarão	aɾɐ̃w̃
passo	pasu
resetar	rezetaχ
faltar	fawtaʁ
norma	nɔʁmɐ
presepada	pɾezepada
leque	lɛki
cruzmaltina	kɾuzmawt͡ʃinɐ
cheirar	ʃejɾaʁ
aumento	awmẽtu
foco	fɔku
onça	õsɐ
provável	pɾovavew
amarelo	ɐmaɾɛlu
deste	deʃti
rei	ʁej
imediatamente	imed͡ʒatɐmẽt͡ʃi
zoofilia	zoofiliɐ
dolorida	doloɾidɐ
barba	baɹbɐ
naufrágio	nɐufraʒju
corte	koʁtʃi
malformações	mawfoʁmasõj̃s
mutação	mutasɐ̃w̃
esqui	eski
habilidade	abilidadʒi
cuidado	kujdadu
excelência	eselẽj̃sja
escritório	eskɾitɔɾju
emílio	emilju
feminicídio	feminisidʒju
feudo	fewdu
leitão	lejtɐ̃w̃
curto	kuʁtu
eduardo	eduardu
javalina	ʒavalina
limitar	limitaʁ
gástrico	ɡaʃtɾiku
ribeiro	ʁibejɾo
ulna	uwna
marra	maʁa
dom	dõ
brodo	bɾɔdu
feed	fid͡ʒ
pimenta	pimẽtɐ
xana	ʃɐna
furou	fuɾow
ourives	owɾivis
sucinto	susĩtu
patrola	patɾɔlɐ
tentação	tẽtasɐ̃w̃
vestuário	veʃtuaɾju
picar	pikaʁ
resistir	ʁezijʃtʃiχ
mourama	mowɾɐmɐ
purga	puʁɡɐ
celular	selulaʁ
mexer	meʃeʁ
estímulos	est͡ʃimulus
importância	ĩpoʁtɐ̃sjɐ
time	t͡ʃimi
sódio	sɔd͡ʒju
caminhão	kamiɲɐ̃w̃
enjoo	ĩʒou
mimimi	mimimi
chorão	ʃoɾɐ̃w̃
cananeu	kɐnɐnew
navio	naviw
própria	pɾɔpɾia
inglaterra	ĩɡlatɛʁɐ
euzinho	ewziɲu
irene	iɾeni
mel	mɛw
grito	ɡɾitu
castidade	kaʃtidadɪ
relação	ʁelasɐ̃w
estupenda	estupẽdɐ
insuscetível	ĩsusetʃivew
esclarecedora	esklaɾesedoɾɐ
comida	kumidɐ
maio	maju
some	sɔmi
caricatura	kaɾikatuɾa
gorila	ɡoɾilɐ
afirmar	afiɻmaɻ
líquido	likwidu
seria	seɾiɐ
jejum	ʒeʒũ
restaurante	hestawɾɐ̃te
melhores	meʎɔɾis
dia	diɐ
cupuaçu	kupuasu
ageu	aʒew
socialismo	sosjalismu
cetim	setʃĩ
feijoada	fejʒoadɐ
encontrar	ĩkõtɾaʁ
ministro	ministɾu
silhueta	siʎuwetɐ
carvão	kaʁvɐ̃w̃
sério	sɛɾju
margarida	maʁɡaɾidɐ
crossa	kɾɔsɐ
monádico	monad͡ʒiku
devagar	devaɡaʁ
pego	pɛɡu
luvaria	luvaɾiɐ
graxa	ɡɾaʃa
afetar	afetaʁ
portanto	poɻtɐ̃to
diz	d͡ʒiʃ
bibliógrafo	bibliɔɡɾafu
horta	ɔʁtɐ
gato	ɡato
estimulante	est͡ʃimulɐ̃t͡ʃi
proteína	pɾoteinɐ
armado	aʁmadu
bairro	bajʁu
leste	lɛst͡ʃi
vistoso	vistozu
imposto	ĩnposto
neurónio	newɾoniu
estes	est͡ʃis
danificar	dɐnifikaʁ
flagrante	flaɡɾɐ̃t͡ʃi
quitute	kitutʃi
fiorde	fiɔʁd͡ʒi
pente	pẽte
lidar	lidaʁ
espanha	ispɐɲɐ
hermano	eʁmɐnu
astorga	astɔʁɡɐ
míssil	misiw
restringir	ʁestɾĩʒiʁ
aulas	awɫas
tirar	t͡ʃiɾaʁ
apaziguamento	apaziɡwamẽtu
rubéola	ʁubɛula
almanjarra	awmɐ̃ʒaʁa
miguel	miɡɛw
canoa	kɐnoɐ
telecomandar	tɛlekomɐ̃daʁ
bolsominion	bowsominjõ
obscuro	obskuɾu
isabel	izabɛw
urbanizar	uʁbɐnizaʁ
