да	dˈɑ
деп	dˈep
мен	mˈen
де	dˈe
және	ʒænˈe
бұл	bˈʊɫ
деген	deɡˈen
бар	bˈɑɾ
жоқ	ʒˈoq
ол	ˈoɫ
Бұл	bˈʊɫ
емес	emˈes
Ал	ˈɑɫ
Қазақстан	qɑzɑqstˈɑn
туралы	twɾˈɑɫə
осы	ˈosə
дейді	dejdˈɪ
бір	bˈɪɾ
жыл	ʒəɫ
үшін	uʃˈɪn
болып	bˈoɫəp
керек	keɾˈek
жылы	ʒəɫə
ғана	ʀɑnˈɑ
болған	boɫʀˈɑn
өз	ˈɵz
бiр	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾə
Ол	ˈoɫ
оның	ˈonəŋ
адам	ɑdˈɑm
бойынша	bˈojənʃɑ
болды	bˈoɫdə
сол	sˈoɫ
отыр	ˈotəɾ
пен	pˈen
Бірақ	bɪɾˈɑq
жатыр	ʒˈɑtəɾ
бас	bˈɑs
үшiн	ˈuʃ(͡e͡n)ˈa͡ɪ(͡k͡k)nə
алып	ˈɑɫəp
қазақ	qɑzˈɑq
жатқан	ʒɑtqˈɑn
күні	kunˈɪ
Оның	ˈonəŋ
қатысты	qˈɑtəstə
көп	kˈɵp
екен	ekˈen
соң	sˈoŋ
келген	keɫɡˈen
Алаш	ɑɫˈɑʃ
болса	boɫsˈɑ
не	nˈe
Жас	ʒˈɑs
to	(͡e͡n)tuː(͡k͡k)
main	(͡e͡n)mˈe͡ɪn(͡k͡k)
болады	boɫˈɑdə
жұмыс	ʒˈʊməs
айтуынша	ˈɑjtwənʃɑ
еді	edˈɪ
Ресей	ɾesˈej
қарсы	qˈɑɾsə
екі	ekˈɪ
басқа	bɑsqˈɑ
оны	ˈonə
өткен	ɵtkˈen
кезде	kezdˈe
мың	məŋ
жаңа	ʒɑŋˈɑ
Қазақстандағы	qɑzɑqstɑndˈɑʀə
кейін	kejˈɪn
ең	ˈeŋ
сот	sˈot
тағы	tˈɑʀə
саяси	sɑjˈasəj
ашық	ˈɑʃəq
арқылы	ˈɑɾqəɫə
ма	mˈɑ
болатын	boɫˈɑtən
алған	ɑɫʀˈɑn
дейін	dejˈɪn
едi	ˈed(͡e͡n)ˈa͡ɪ(͡k͡k)
отырған	ˈotəɾʀɑn
айтады	ɑjtˈɑdə
Осы	ˈosə
сияқты	səjjaqtə
тұр	tˈʊɾ
деді	dedˈɪ
Алматы	ɑɫmˈɑtə
берген	beɾɡˈen
айтты	ˈɑjttə
президент	pɾˈezəjdent
алатын	ɑɫˈɑtən
Қазақстанның	qɑzɑqstˈɑnnəŋ
тек	tˈek
үш	ˈuʃ
сөз	sˈɵz
айтып	ˈɑjtəp
қалған	qɑɫʀˈɑn
жылдың	ʒəɫdəŋ
олар	oɫˈɑɾ
ел	ˈeɫ
бұрын	bˈʊɾən
желтоқсан	ʒeɫtoqsˈɑn
Азаттық	ɑzˈɑttəq
Сондықтан	sˈondəqtɑn
демократиялық	demokɾˈɑtəjjaɫəq
Қазақстанда	qɑzɑqstɑndˈɑ
мүмкін	mumkˈɪn
Сол	sˈoɫ
қалай	qɑɫˈɑj
байланысты	bɑjɫˈɑnəstə
жүрген	ʒuɾɡˈen
президенті	pɾˈezəjdentɪ
олардың	oɫˈɑɾdəŋ
Алайда	ɑɫɑjdˈɑ
қол	qˈoɫ
Бiрақ	bə(͡e͡n)ˈa͡ɪ(͡k͡k)ɾˈɑq
ұлттық	ˈʊɫttəq
бұрынғы	bˈʊɾənʀə
қандай	qɑndˈɑj
ғой	ʀˈoj
Олар	oɫˈɑɾ
жаза	ʒɑzˈɑ
немесе	nemesˈe
тұрған	tʊɾʀˈɑn
оған	oʀˈɑn
рет	ɾˈet
өте	ɵtˈe
арасында	ɑɾˈɑsəndɑ
үлкен	uɫkˈen
Мен	mˈen
қайта	qɑjtˈɑ
екенін	ekenˈɪn
кеткен	ketkˈen
екi	ˈek(͡e͡n)ˈa͡ɪ(͡k͡k)
шыққан	ʃəqqɑn
жақсы	ʒˈɑqsə
жауап	ʒɑwˈɑp
ақпарат	ɑqpɑɾˈɑt
ретінде	ɾetɪndˈe
кезінде	kezɪndˈe
АҚШ	ˈɑqʃ
бағыттағы	bˈɑʀəttɑʀə
ал	ˈɑɫ
Navigation	(͡e͡n)nˌavɪɡˈe͡ɪʃən(͡k͡k)
contentSkip	(͡e͡n)kˈɒntɛnt skˈɪp(͡k͡k)
кейiн	kˈej(͡e͡n)ˈa͡ɪ(͡k͡k)nə
заң	zˈɑŋ
халықаралық	xˈɑɫəqɑɾɑɫəq
арнайы	ɑɾnˈɑjə
жер	ʒˈeɾ
дейiн	dˈej(͡e͡n)ˈa͡ɪ(͡k͡k)nə
бірі	bɪɾˈɪ
қалды	qˈɑɫdə
жерде	ʒeɾdˈe
күн	kˈun
соңғы	sˈoŋʀə
мұндай	mʊndˈɑj
мемлекеттік	memlekettˈɪk
халық	xˈɑɫəq
қарай	qɑɾˈɑj
өзі	ɵzˈɪ
келе	kelˈe
бірнеше	bɪɾneʃˈe
та	tˈɑ
жол	ʒˈoɫ
Егер	eɡˈeɾ
осындай	ˈosəndɑj
барлық	bˈɑɾɫəq
келеді	keledˈɪ
болуы	bˈoɫwə
дүйсенбі	dujsenbˈɪ
қарағанда	qɑɾɑʀɑndˈɑ
айтқан	ɑjtqˈɑn
жылдан	ʒəɫdɑn
алдында	ˈɑɫdəndɑ
талап	tɑɫˈɑp
түрде	tuɾdˈe
алды	ˈɑɫdə
миллион	məjɫɫəjon
қазір	qɑzˈɪɾ
теңге	teŋɡˈe
күнi	kˈun(͡e͡n)ˈa͡ɪ(͡k͡k)
қажет	qɑʒˈet
бөлісіңіз	bɵlɪsɪŋˈɪz
бөлісіңізGoogle	bɵlɪsɪŋˈɪz(͡e͡n)ˈuːɡə͡l(͡k͡k)
бөлісіңізВ	bɵlɪsɪŋˈɪz və
Назарбаев	nɑzɑɾbɑˈev
ішінде	ɪʃɪndˈe
өзi	ˈɵz(͡e͡n)ˈa͡ɪ(͡k͡k)
ресми	ɾˈesməj
алады	ɑɫˈɑdə
әлі	ælˈɪ
жағдай	ʒɑʀdˈɑj
жоғары	ʒoʀˈɑɾə
жеке	ʒekˈe
Нұрсұлтан	nʊɾsʊɫtˈɑn
басшысы	bˈɑsʃəsə
те	tˈe
жылға	ʒəɫʀɑ
алмай	ɑɫmˈɑj
сатып	sˈɑtəp
ме	mˈe
бірақ	bɪɾˈɑq
мемлекет	memlekˈet
адамдар	ɑdɑmdˈɑɾ
Қазақ	qɑzˈɑq
алу	ˈɑɫw
