organizatora	ˈorɡænˌɪzætˌoræ
seže	sˈɛʒɛ
procese	pɾˈot͡sɛsɛ
inverzna	ˈinvɛrznæ
uskom	ˈuskom
Dobro	dˈobɾo
il	ˈil
Istri	ˈistɾɪ
snimana	snˈimænæ
konzulstva	kˈonzʊlstvæ
Pavel	pˈavɛl
izvire	ˈizvɪrɛ
staklo	stˈaklo
uzorku	ˈuzorkʊ
Germana	ɡˈɛrmænæ
Bošnjaci	bˈoʃɲæt͡sɪ
situacija	sˈitʊˌæt͡sɪjæ
sofe	sˈofɛ
desnu	dˈɛsnʊ
završenih	zˈavrʃɛnɪh
pouzdanosti	pˈo͡ʊzdænˌostɪ
pora	pˈoræ
materijalnoj	mˈatɛrˌɪjælnoj
finalne	fˈinælnɛ
ljude	ʎˈudɛ
međunarodnu	mˈɛd͡ʑʊnˌɑrodnʊ
Odjednom	ˈodjednom
moždani	mˈoʒdænɪ
alejhi	ˈalejhɪ
Samu	sˈamʊ
organiziranja	ˈorɡænˌɪzɪrˌæɲæ
kilograma	kˈiloɡɾˌæmæ
poteškoćama	pˈotɛʃkˌot͡ɕæmæ
potom	pˈotom
diplomatskim	dˈiplomˌætskɪm
pozitivni	pˈozɪtˌɪvnɪ
mrtvo	mrtvˈo
ukrasne	ˈukɾæsnɛ
Isus	ˈisʊs
igračaka	ˈiɡɾæt͡ʃˌækæ
pritiskom	pɾˈitɪskom
Challenge	t͡shˈallɛŋɡɛ
trojicu	tɾˈojɪt͡sʊ
Izgradnja	ˈizɡɾædɲæ
štitnjače	ʃtˈitɲæt͡ʃɛ
sportskog	spˈortskoɡ
otiske	ˈotɪskɛ
dobitnici	dˈobɪtnˌɪt͡sɪ
noćnom	nˈot͡ɕnom
tipa	tˈipæ
desnih	dˈɛsnɪh
polubrata	pˈolʊbɾˌætæ
šarenice	ʃˈɑrɛnˌɪt͡sɛ
sa	sˈa
Bolnica	bˈolnɪt͡sæ
međusobna	mˈɛd͡ʑʊsˌobnæ
pratili	pɾˈatɪlɪ
populacijom	pˈopʊlˌæt͡sɪjom
idealnog	ˈidɛˌælnoɡ
naplatu	nˈaplætʊ
procijenili	pɾˈot͡sɪjˌenɪlɪ
Aleksandriji	ˈalɛksˌændɾɪjɪ
okoliša	ˈokolˌɪʃæ
danima	dˈanɪmæ
formirao	fˈormɪrˌæo
razlaganja	ɾˈazlæɡˌæɲæ
Development	dˈɛvɛlˌopmɛnt
Izvršnog	ˈizvrʃnoɡ
književna	kɲˈiʒɛvnæ
polarnih	pˈolɑrnɪh
Marc	mˈɑrt͡s
Kragujevac	kɾˈaɡʊjˌevæt͡s
Rubljova	ɾˈubʎovæ
jedni	jˈednɪ
Pruske	pɾˈuskɛ
namjerama	nˈamjerˌæmæ
prikazivani	pɾˈikæzˌɪvænɪ
nestanak	nˈɛstænæk
pripisano	pɾˈipɪsˌæno
algoritam	ˈalɡorˌɪtæm
LP	lˈəpˌə
zvanih	zvˈanɪh
vakuola	vˈakʊˌolæ
kolonijalni	kˈolonˌɪjælnɪ
posluju	pˈoslʊjʊ
masovnih	mˈasovnɪh
Hadžiefendić	xˈad͡ʒɪˌɛfɛndɪt͡ɕ
pokušala	pˈokʊʃˌælæ
maksimuma	mˈaksɪmˌʊmæ
miljenik	mˈiʎenɪk
Troškovi	tɾˈoʃkovɪ
kombinacijama	kˈombɪnˌæt͡sɪjˌæmæ
Raste	ɾˈastɛ
tehničkog	tˈɛhnɪt͡ʃkoɡ
An	ˈan
Orfej	ˈorfej
dobit	dˈobɪt
koncentraciju	kˈont͡sɛntɾˌæt͡sɪjʊ
moždanim	mˈoʒdænɪm
najuticajnijih	nˈɑjʊtˌɪt͡sɑjnˌɪjɪh
upaljač	ˈupæʎæt͡ʃ
osminu	ˈosmɪnʊ
primijećeni	pɾˈimɪjˌet͡ɕɛnɪ
bijelci	bˈijelt͡sɪ
usmene	ˈusmɛnɛ
građevinarstva	ɡɾˈad͡ʑɛvˌɪnɑrstvæ
metodi	mˈɛtodɪ
maseni	mˈasɛnɪ
katalogu	kˈatælˌoɡʊ
zastupa	zˈastʊpæ
rođendan	ɾˈod͡ʑɛndæn
muzičari	mˈuzɪt͡ʃˌɑrɪ
odličnih	ˈodlɪt͡ʃnɪh
definišu	dˈɛfɪnˌɪʃʊ
distalni	dˈistælnɪ
isklesan	ˈisklɛsæn
pokorio	pˈokorˌɪo
farmu	fˈɑrmʊ
smješteni	smjˈeʃtɛnɪ
Dužina	dˈuʒɪnæ
motiva	mˈotɪvæ
ublažavanja	ˈublæʒˌævæɲæ
