memberitahukan	məmbˌɛritahˈukan
haknya	hˈakɲa
Capil	t͡ʃˈapil
secang	sˈɛt͡ʃaŋ
bijak	bˈid͡ʒak
pencegahannya	pənt͡ʃˌɛɡahˈanɲa
Men	mˈɛn
WAJIB	wˈad͡ʒib
arahat	arˈahat
Cloud	t͡ʃlˈoud
Pinisi	pinˈisi
Jamban	d͡ʒˈamban
Kerontokan	kərontˈokan
Venesia	vˌɛnəsˈia
Rato	rˈato
Mozilla	mozˈila
anjuran	and͡ʒˈuran
Naluri	nalˈuri
diakomodasi	dˌiakˌomodˈasi
Cicendo	t͡ʃit͡ʃˈɛndo
Colo	t͡ʃˈolo
Funding	fˈundiŋ
memperihatinkan	məmpərˌihatˈinkan
Muasalnya	mˌuasˈalɲa
Unda	ˈunda
okey	ˈokəj
Qalam	kˈalam
Adaro	adˈaro
Mercedes	mərt͡ʃˈɛdəs
Pulo	pˈulo
Premier	prˈɛmir
sewilayah	səwilˈajah
perkreditan	pərkrədˈitan
diajarkannya	dˌiad͡ʒarkˈanɲa
campus	t͡ʃˈampus
dipenuhinya	dˌipənuhˈiɲa
Jahannam	d͡ʒahˈannam
terowongan	tərowˈoŋan
materialistis	mˌatərˌialˈistis
kresek	krˈɛsək
balanced	balˈant͡ʃəd
bertasbih	bərtˈasbih
menerangkannya	mənˌɛraŋkˈanɲa
Telecenter	tələt͡ʃˈɛntər
Smansa	smˈansa
Malingping	malˈiŋpiŋ
Pinterest	pintˈɛrəst
kepaniteraan	kəpˌanitərˈaan
Gunungputri	ɡˌunuŋpˈutri
dimoderatori	dˌimodˌɛratˈɔri
Matrikulasi	mˌatrikulˈasi
Manakala	mˌanakˈala
penonton	pənˈonton
Tekken	tˈɛkkən
Chalmers	χˈalmərs
Madiba	madˈiba
MTS	ˌɛmtˌeəs
Kerasulan	kərasˈulan
Kunjungan	kund͡ʒˈuŋan
Visio	visˈio
Canna	t͡ʃˈanna
TMK	tˌeəmkˈa
Basari	basˈari
Villages	vilˈaɡəs
Dwi	dwˈi
konglomerasi	kˌoŋlomərˈasi
FN	ˌɛfˈɛn
Tabung	tˈabuŋ
navigasi	nˌaviɡˈasi
Wakapolda	wˌakapˈolda
jomblo	d͡ʒˈomblo
Mohd	mˈohd
seninya	sənˈiɲa
Carat	t͡ʃˈarat
Suhelmi	suhˈɛlmi
loak	lˈoak
Asmo	ˈasmo
Monthly	mˈonthlj
CB	t͡ʃˌebˈe
sehinnga	səhˈinŋa
stimulusnya	stˌimulˈusɲa
Pembayaran	pəmbajˈaran
keahliannya	kəˌahliˈanɲa
whey	whˈɛj
Innocentius	ˌinnot͡ʃəntˈius
BPJT	bˌepˌed͡ʒˌetˈe
fps	ˌɛfpˌeəs
migrasinya	mˌiɡrasˈiɲa
Faktanya	faktˈaɲa
ditujunya	dˌitud͡ʒˈuɲa
keterlibatannya	kətˌɛrlibatˈanɲa
mematuk	məmˈatuk
bebernya	bəbˈɛrɲa
Cost	t͡ʃˈost
suku	sˈuku
jeans	d͡ʒˈɛans
dihidrolisis	dˌihidrolˈisis
Dipublikasikan	dˌipublˌikasˈikan
menyalurkannya	məɲˌalurkˈanɲa
formulanya	fˌɔrmulˈaɲa
Amanat	amˈanat
menyatroni	məɲatrˈoni
tekah	tˈɛkah
Rukmana	rukmˈana
Wudhu	wˈudhu
pastikan	pastˈikan
Change	χˈaŋə
sma	smˈa
BPDAS	bpdˈas
mengontrol	məŋˈontrol
kepalamu	kəpalˈamu
Balawan	balˈawan
HTI	htˈi
HARA	hˈara
Pemikul	pəmˈikul
pedomani	pədomˈani
Mirota	mirˈota
filum	fˈilum
maskara	maskˈara
hidrokoloid	hˌidrokolˈoid
caravan	t͡ʃarˈavan
chaos	χˈaos
mnurut	mnˈurut
Limun	lˈimun
Persiraja	pərsirˈad͡ʒa
KemenPAN	kˈɛmənpˌeˌaˈɛn
kostum	kˈostum
Setren	sˈɛtrən
Theodora	thˌɛodˈɔra
remaster	rəmˈastər
Tapas	tˈapas
perternakan	pərtərnˈakan
Sunarya	sunˈarja
seven	sˈɛvən
remake	rəmˈakə
laknat	lˈaknat
bertumpu	bərtˈumpu
merestui	mərəstˈui
Sukodono	sˌukodˈono
transnasional	trˌansnasiˈonal
manifestasi	mˌanifəstˈasi
SATU	sˈatu
luxor	lˈuksɔr
ALP	ˈalp
berkeinginan	bərkˌɛiŋˈinan
Kronjo	krˈond͡ʒo
Iboih	ibˈoih
terpelihara	tərpˌɛlihˈara
Saigon	sˈa͡ɪɡon
Fraser	frˈasər
Mekanika	məkanˈika
IESP	ˈisp
usah	ˈusah
AKBP	ˈakbp
Dahulu	dahˈulu
Pergi	pˈɛrɡi
ajar	ˈad͡ʒar
MMUGM	mmˈuɡm
termiskin	tərmˈiskin
teras	tˈɛras
pengurangan	pəŋurˈaŋan
candy	t͡ʃˈandj
Whisnu	whˈisnu
Fleetwood	flˌɛətwˈood
Dari	dˌari
KKNI	kknˈi
Bandengan	bandˈɛŋan
LeBron	lˈɛbrˈon
hidrografi	hˌidroɡrˈafi
Lingk	lˈiŋk
Seskoal	səskˈoal
aksesi	aksˈɛsi
Fretilin	frətˈilin
brosur	brˈosur
Selogiri	səloɡˈiri
aktin	ˈaktin
KL	kˌaˈɛl
Wak	wˈak
manicure	mˌanit͡ʃˈurə
religi	rəlˈiɡi
disepanjang	dˌisəpˈand͡ʒaŋ
Liverpool	lˌivərpˈool
dipasarkan	dˌipasˈarkan
AUG	ˈa͡ʊɡ
zoning	zˈoniŋ
Structure	strut͡ʃtˈurə
warganegara	wˌarɡanəɡˈara
milkshake	milkshˈakə
Yura	jˈura
setaraf	sətˈaraf
bakteriostatik	bˌaktərˌiostˈatik
berbelas	bərbˈɛlas
petugas	pətˈuɡas
tokoferol	tˌokofˈɛrol
bike	bˈikə
Sehatkan	səhˈatkan
berlensa	bərlˈɛnsa
jumawa	d͡ʒumˈawa
Mewakili	məwakˈili
keuniversalan	kəˌunivərsˈalan
layak	lˈajak
Shimizu	shimˈizu
Passenger	pasˈɛŋər
ucapkan	ut͡ʃˈapkan
Shelter	shˈɛltər
NOT	nˈot
Mapala	mapˈala
Vtil	vtˈil
taiwan	tˈa͡ɪwan
Dzuhur	dzˈuhur
Nuriman	nurˈiman
Terapis	tərˈapis
Ashabul	ashˈabul
jali	d͡ʒˈali
Greater	ɡrəˈatər
officer	ofˈit͡ʃər
Fay	fˈaj
alel	ˈaləl
Mercantile	mərt͡ʃantˈilə
antri	ˈantri
Wayne	wˈajnə
Kanton	kˈanton
Paket	pˈakət
Roche	rˈoχə
kemandirian	kəmˌandirˈian
Gondangdia	ɡˌondaŋdˈia
advance	advˈant͡ʃə
Xiu	zˈiu
kategoris	kˌatəɡˈɔris
Dijk	dˈid͡ʒk
expectancy	əkspˈɛt͡ʃtant͡ʃj
SEKOLAH	səkˈolah
Fita	fˈita
antiseptic	ˌantisˈɛptit͡ʃ
Presidential	prˌɛsidəntˈial
Bhutan	bhˈutan
ERM	ˈɛrm
selangkangannya	səlˌaŋkaŋˈanɲa
seksama	səksˈama
Buahnya	buˈahɲa
tercuci	tərt͡ʃˈut͡ʃi
Peradaban	pəradˈaban
kawanku	kawˈanku
India	indˈia
mempresentasikannya	məmprˌɛsəntˌasikˈanɲa
Bazzar	bˈazzar
Tazbir	tˈazbir
Arm	ˈarm
spp	ˌɛspˌepˈe
Additional	ˌadditiˈonal
