lyfta	lɪʰta
trøll	tʰɹœtl
sýning	sʊiːnɪŋk
lampa	lam̥pa
atli	aʰtlɪ
dimmbrúnur	tɪmːpɹʉuːnʊr
samkyndur	sam̥t͡ʃɪntʊɹ
fulkubbi	fʊl̥kʊpːɪ
ungari	ʊŋkaɹɪ
gass	kasː
torg	tʰɔɹk
síga	sʊiːja
visundur	visʊntʊɹ
tóm	tʰɔuːn
krúna	kɹʉuːna
einkjumaður	ɔiɲ̊t͡ʃːʊmɛaːvʊɹ
búgvi	bɪɡvi
firði	fiːɹɪ
hiplingur	hɪʰplɪŋkʊɹ
horur	hoːɹʊɹ
hvørkikyn	kfœɹ̥tʃɪtʃʰiːn
tjøra	tʲʰøːɹa
róm	ɹouːm
mær	mɛaːɹ
sandur	santʊɹ
h	h
kengura	kʰɛŋkuːɹa
krím	kɹʊiːjm
tunna	tʰʊnːa
spaði	spɛaːjɪ
viðgerð	vit͡ʃːeːɹ
ári	ɔɑːɹɪ
kunta	kʰʊn̥ta
eli	eːliː
smiðja	smiːja
góðska	kœska
piparrót	pʰiːpaɹœuːt
napoleon	napʰoːlɪɔn
boara	poːaɹa
dádýr	tɔɑːtʊiːɹ
pund	pʰʊnt
pávi	pʰɔɑːvɪ
veitsla	vaiːʃla
minuttur	minʊtːʊɹ
familja	famɪlja
jú	jʉuːw
keks	kʰɛʰks
býur	pʊiːjʊɹ
grátur	krɔɑːʰtʊɹ
skinfluga	ʃɪn̥fluːa
tjóðverji	tʃʰɔuːwvɛɹjɪ
nátan	nɔɑːʰtan
mangur	mɛŋkʊɹ
fullur	fʊtlʊɹ
plantur	plan̥tʊɹ
k	kʰ
jeppur	jɛʰpːʊɹ
ræ	rɛaː
ólavur	ɔuːlavʊɹ
frøði	fɾøːjɪ
leikføri	laiːkføːɹɪ
sunniva	sʊnːɪva
kirkja	t͡ʃʰɪr̥t͡ʃa
vetrartíð	veːtɹaɹtʰʊiːj
tøkk	tʰœʰkː
havur	hɛaːvʊɹ
ge	keː
melón	melɔoːn
bál	pɔɑːl
veðrakjøt	vɛkɹatʃʰøːʰt
gulur	kuːlʊɹ
rukka	ɹʊʰkːa
dós	tɔuːs
ont	ɔn̥t
garður	kɛaːɹʊɹ
tól	tʰɔuːl
