math	maθ
chaur	xau̯r
réud	r͈ʲeːu̯ð
ingenrad	inʲɣʲenrað
robatar	robaːdar
croiccenn	krokʲen͈
tús	tuːs
gen	ɡʲen
derbsiur	dʲerʲvʲfʲiur
cenél	kʲenʲeːl
amal	aṽal
claind	klan͈ʲdʲ
drécht	dʲrʲeːxt
adáichfethar	aðaːxʲfʲeθar
mumu	muṽu
dagdae	daɣðe
berte	bʲerde
thé	θʲeː
irbág	irvaːɣ
lí	l͈ʲiː
ithid	iθʲiðʲ
albu	albu
arrosfí	ar͈osvʲiː
marmar	marmar
tegdais	tʲeɣðəsʲ
frepaid	fʲrʲebəðʲ
dias	dʲiəs
arbeir	arbʲerʲ
greimm	ɡʲr͈ʲemʲ
thorbe	θorve
coin	konʲ
machae	maxe
étrum	eːdrum
fíad	fʲiːa̯ð
chirt	xʲir͈t
ailide	alʲiðʲe
grécu	ɡʲrʲeːɡu
adamrugur	aðaṽruɣur
labrar	l͈avrər
chid	xʲið
húare	uːa̯rʲe
frac	frak
ruanat	r͈uanad
uisce	usʲkʲe
trén	tʲrʲeːn
forálaig	for͈aːliɣʲ
immidfolngi	imʲiðʲolŋi
sála	saːlə
foísitin	foːi̯sʲidʲinʲ
rechta	r͈ʲexta
ɔidrofoilsigsetar	konʲiðrofol͈sʲiɣʲsʲedar
baid	baðʲ
chor	xor
cruimther	kruṽʲθʲer
attotaig	adodaɣʲ
cell	kʲel͈
míle	mʲiːlʲe
chéile	xʲeːlʲə
fáith	faːθʲ
fintar	fʲin͈tar
artúaissi	artua̯sʲi
raithnech	r͈aθʲnʲex
olc	olk
sain	sanʲ
anúas	an͈uːa̯s
ailidetu	alʲiðʲedu
side	sʲiðʲe
adall	aðəl͈
légaid	l͈ʲeːɣiðʲ
anmin	anminʲ
congní	konɡʲnʲiː
guid	ɡuðʲ
guidi	ɡuðʲi
aithesc	aθʲəsk
cert	kʲer͈t
birr	bʲir͈ʲ
innahí	in͈ahiː
assagúsea	asaɡuːsʲa
roth	r͈oθ
cosmail	kosṽil
fadesin	fadʲesʲinʲ
adamraigedar	aðaṽriɣʲeðar
atreig	adrʲeɣʲ
ríg	r͈iːɣʲ
dí	dʲiː
fodaim	foðəṽʲ
liacc	l͈ʲiaɡ
mbás	mbaːs
orc	ork
bethaid	bʲeθiðʲ
camm	kam
adbar	aðvar
diib	dʲiivʲ
nocarae	noɡare
étite	eːdʲidʲe
immdích	imʲdʲiːxʲ
gíall	ɡʲiːa̯l͈
fecht	fʲext
fiche	fʲixʲe
fásach	faːsəx
fírinne	fʲiːrʲin͈ʲe
breth	bʲr͈ʲeθ
tain	tanʲ
lóchet	loːxʲəd
talmain	talṽinʲ
desimrecht	dʲesʲimʲrʲext
cuirethar	kurʲeθar
lín	l͈ʲiːnʲ
chamm	xam
cet	kʲed
conricc	konr͈ʲiɡʲ
cuilenn	kulʲen͈
fíne	fʲiːnʲe
