naabritega	nˈaːbritˌeɡa
Valtson	vˈaltson
Aafrika	ˈaːfrika
liikmesriigis	lˈiːkːmesrˈiːɡis
jaburat	jˈabʊrat
Evestuse	ˈevɛstˌuse
turvaliseks	tˈurvaliseks
märkmeid	mˈærkːmeid
kontorites	kˈontorites
jalgpallile	jˈalɡpallˌile
tulemiseks	tˈulɛmiseks
ideoloogiast	idˈeoːlˈoːɡiast
elujõuline	ˈelʊjˌɵulˌine
õpilased	ˈɵpilased
südameoperatsioon	sˌydɑmˈeoːpːeraˌit^siˈoːn
ametiühing	ˈamɛtˌiyhiŋɡ
imiku	ˈimɪku
maist	mˈaist
telefonikõned	tˈelɛfˌonikɵned
kilomeetrise	kˌilɔmˈeːtːrise
kaod	kˈaoːd
haljastus	hˈaʎjastus
määri	mˈæːri
võidud	vˈɵidud
mõjutava	mˈɵjʊtˌava
pritsib	prˈiit^sib
abortide	ˈabɔrtˌide
taluvad	tˈalʊvad
tähendama	tˈæhɛndˌama
Mõisaküla	mˈɵisˌakyla
etapivõidu	ˈetapˌivɵˌidu
alandavad	ˈalɑndavad
saanutele	sˈaːnutˌele
kutsega	kˈutseɡa
registreerisid	rˌeɡɪstrˈeːrisid
üldse	ˈyldse
mudelid	mˈudɛlid
tuulepargi	tˈuːlepˌarɡi
töötavat	tˈøːtːavat
Saudid	sˈaudid
esmapilgul	ˈesmapˌilɡul
pronkskuju	prˈoŋkskuju
Otsustav	ˈotsustav
uurida	ˈuːrida
õnnitlesid	ˈɵɲɲitːlesid
armulaud	ˈarmulaud
Kala	kˈalɑ
põrgusse	pˈɵrɡusse
õudust	ˈɵudust
Villeneuve	vˈillenˌeuve
Emadepäeva	ˈemɑdˌepæˌeva
treeningutele	trˈeːɲiŋɡˌutele
munad	mˈunɑd
Elar	ˈelɑr
sild	sˈild
valgustatud	vˈalɡustatud
ühisrahastuse	ˈyhɪsrahˌastuse
suhtleb	sˈuhtleb
Will	vˈiiʎʎ
jõuluaeg	jˈɵulˌuaeɡ
Teatri	tˈeatːri
Porošenko	pˈorɔʃˌeŋkːo
torkavad	tˈorkːavad
võrkpallis	vˈɵrkpallis
eelvõistlusel	ˈeːlvɵˌistlusel
Equity	ˈekviti
afääris	afˈæːris
la	lˈa
peteti	pˈeteti
raatsinud	rˈaːit^sinud
vaimulikku	vˈaimulˌikːu
tüüpi	tˈyːpːi
kasutamisest	kˈasʊtˌamisest
tasemete	tˈasɛmˌete
hinnasihti	hˈinnasˌihti
rikastab	rˈikastab
võistlustööd	vˌɵistlustˈøːd
pisukese	pˈisʊkˌese
võimetele	vˈɵimˌetele
loodusturismi	lˈoːdusturˌismi
absurdset	ˈabsurdset
kaotamata	kˈaoːtːamˌatːa
sekkumiseta	sˈekːumˌiseta
hoonet	hˈoːnet
tasumisega	tˈasʊmˌiseɡa
teenindame	tˈeːɲindˌame
kriitilisi	krˈiːtːilˌisi
Eestimaa	ˈeːs^timˈaː
peaministrikandidaadiks	pˌeaminˌistrikˌaɲdidˈaːdiks
andestamatu	ˈandestˌamatu
leibkondade	lˈeibkˌondade
Kiisküla	kˈiːskyla
mitmesugustel	mˈitːmesuɡˌustel
miinuste	mˈiːnuste
projektidesse	prˈojektidˌesse
korruptantide	kˈorruptˌaɲtide
ehitatava	ˈehɪtˌatava
tublisid	tˈublisid
AFP	ˈafp
kaasaegseid	kˈaːsaˌeɡseid
Niin	nˈiiːn
Aktsiisitõus	aktsˈiːsitɵus
koodeksi	kˈoːdeksi
sõitjatele	sˈɵitjˌatele
hommikusöögi	hˌommikusˈøːɡi
tiitliga	tˈiːtːliɡa
tulekut	tˈulɛkut
inimlikkus	ˈiɲɪmlˌikːus
koalitsioonikõnelusi	kˈoaːliˌit^siˈoːnikˌɵnelˌusi
lemmiku	lˈemmiku
pühapäevakooliõpetaja	pˌyhɑpæevakˈoːliˌɵpːetˌaja
saksad	sˈaksad
sõjaväelise	sˈɵjɑvˌæelˌise
Aru	ˈarʊ
vähemasti	vˈæhɛmˌas^ti
tööpuudusega	tˈøːpːˈuːdusˌeɡa
töötasid	tˈøːtːasid
ladustatud	lˈadʊstatud
kinnitas	kˈiɲɲitas
jätkuvast	jˈætkuvast
piirkondlikule	pˈiːrkːondlˌikule
kritiseerijaid	krˌit^isˈeːrijaid
tõmbamist	tˈɵmmbamist
Ola	ˈolɑ
Esialgsete	ˈes^iˌalɡsete
Rotterdami	rˈotːerdˌami
Assadiga	ˈassadˌiɡa
haljastuse	hˈaʎjastˌuse
toppisid	tˈopːisid
arenevas	ˈarɛnevas
põrkunud	pˈɵrkːunud
politseijõudude	pˈoʎɪtsˌeijˌɵudˌude
luuret	lˈuːret
kireva	kˈirɛva
voodist	vˈoːd^ist
vallavanemate	vˈallavˌanemˌate
arenduskeskuse	ˈarɛndˌuskeskˌuse
täiendav	tˈæ͡ijendav
mitmeidki	mˈitːmeˌidki
muusikat	mˈuːs^ikat
mererannas	mˈerɛrˌannas
sakslane	sˈakslane
julmas	jˈulmas
Koolimaja	kˈoːʎimˌaja
leedukate	lˈeːdukˌate
teadagi	tˈeadˌaɡi
Viibisin	vˈiːbisin
külastajale	kˈylɑstˌajale
Kunstnike	kˈunst^nike
originaalse	ˌorɪɡinˈaːlse
Jegorova	jˈeɡɔrˌova
lapsevankriga	lˈapsevˌaŋkːriɡa
kuidas	kˈuidas
mõtlejaid	mˈɵtːlejaid
härrased	hˈærrased
detailplaneeringut	tˌetaˌilplanˈeːriŋɡut
Sinn	sˈinn
osi	ˈos^ɪ
tegutsemisele	tˈeɡʊtsˌemisˌele
läbiviimisel	lˌæbɪvˈiːmisel
painutada	pˈainˌutada
Arenduskeskus	ˈarɛndˌuskeskus
ideaaliks	ˌideˈaːliks
haigla	hˈaiɡla
madalamal	mˈadɑlamal
Jõgevatrefi	jˈɵɡɛvˌatːrefi
jubedalt	jˈubɛdalt
tihtilugu	tˈihtilˌuɡu
IX	ˈiks
kirikutega	kˈirɪkˌuteɡa
valedele	vˈalɛdˌele
kolmapäevani	kˈolmapˌæevˌani
narkopolitsei	nˌarkːopolitsˈeiː
lohakalt	lˈohɑkalt
Holmes	hˈolmes
Võime	vˈɵime
unustas	ˈunʊstas
ökonomist	ˈøkonomist
tutvutakse	tˈutvutˌakse
Haak	hˈaːk
Peciukevicius	pˈetsiˌukːevˌitsius
leerikooli	lˈeːrikˈoːli
Exxon	ˈekːson
reformarite	rˈefɔrmˌarite
tundmatut	tˈundmatut
rataste	rˈataste
sisust	sˈisʊst
tänavusi	tˈænɑvˌusi
laulupeost	lˌaulupˈeoːst
jonnakas	jˈonnakas
riigikohtuni	rˈiːɡikˌohtuni
praostkonnast	prˈaoːstkˌonnast
Haabneemes	hˈaːbnˈeːmes
sotsiaalsetest	sˌoit^siˈaːlsetest
kiirabibrigaad	kˈiːrabˌibriɡˈaːd
jääme	jˈæːme
päästetööd	pˈæːstetˈøːd
targutamine	tˈarɡutˌamine
kümmekonna	kˈymmekˌonna
ökonomisti	ˈøkonomˌis^ti
spiiker	spˈiːkːer
parandusi	pˈarɑndˌusi
tsunfti	tsˈunfti
vaidlustamist	vˈaidlˌustamist
Ringhäälingunõukogu	riŋɡhˈæːliŋɡunɵˌukːoɡu
piinlikku	pˈiːnlikːu
kärpimist	kˈærpimist
tõota	tˈɵoːtːa
mõõtmised	mˈɵːtːmised
Luksemburgi	lˈuksemmbˌurɡi
kandidaatidest	kˌaɲdidˈaːtːidest
jäätmekäitluse	jˈæːtːmekˌæ͡itːluse
ind	ˈind
üllatavad	ˈyllatavad
tegevusaasta	tˌeɡɛvusˈaːsta
Ilona	ˈilɔna
finaalkohtumine	finˈaːlkːohtˌumine
teerulli	tˈeːrulli
valijamees	vˌaʎɪjamˈeːs
seiklused	sˈeikːlused
novembriga	nˈovɛmmbrˌiɡa
parempoolse	pˌarɛmpˈoːlse
tekitamine	tˈekitˌamine
jõuetus	jˈɵuwˌetːus
läbiviidav	lˌæbɪvˈiːdav
preestrite	prˈeːstrite
keskpunkt	kˈeskpuŋkt
külvavad	kˈylvavad
tõhusus	tˈɵhʊsus
Isikliku	ˈis^ɪkːlˌiku
keskide	kˈeskide
turvavarustust	tˈurvavarˌustust
õhukeseks	ˈɵhʊkeseks
Randjärve	rˈaɲdjærve
isolatsioonist	ˌisɔlaˌit^siˈoːnist
Ämaris	ˈæmɑris
allesjäänud	ˌallesjˈæːnud
Teaduse	tˈeadˌuse
valmida	vˈalmida
vaimsus	vˈaimsus
erisused	ˈerɪsused
summa	sˈumma
elamusse	ˈelɑmˌusse
Hortus	hˈortus
Aste	ˈaste
Minski	mˈinski
jäeta	jˈæetːa
trassi	trˈas^s^i
kirjastamine	kˈirjastˌamine
Leemet	lˈeːmet
siseinfo	sˈiseˌinfo
neeger	nˈeːɡer
Delfis	tˈelfis
viljakas	vˈiʎjakas
hukkunust	hˈukːunust
Hillar	hˈillar
otsiti	ˈoit^sˌiti
töötegemise	tˈøːtːeɡˌemise
elurõõmu	ˌelʊrˈɵːmu
mäng	mˈæŋɡ
deklareeris	tˌekːlarˈeːris
jaanuar	jˈaːnuar
kingime	kˈiŋɡime
meeskondi	mˈeːskoɲdi
ennetava	ˈennetˌava
jälgiks	jˈæʎɡiks
muutuvaid	mˈuːtːuvaid
turunduses	tˈurʊnduses
lõhenemine	lˈɵhɛnˌemine
ähvarduse	ˈæhvardˌuse
aktsionäridele	ˈaktsiˌonærˌidele
Rolandas	rˈolɑndas
puiduga	pˈuidˌuɡa
mõttemaailma	mˌɵtːemˈaːilma
naabermaa	nˈaːbermˈaː
õhutada	ˈɵhʊtˌada
natust	nˈatust
Andku	ˈandku
inimest	ˈiɲɪmest
näitajatega	nˈæ͡itːajˌateɡa
mängides	mˈæŋɡides
joonistuvad	jˈoːɲistuvad
Venemaast	vˌenɛmˈaːst
Londonisse	lˈondonˌisse
Bondora	pˈondora
Valisin	vˈaʎɪsin
pärsib	pˈærsib
trupiga	trˈupiɡa
laseksid	lˈasɛksid
kenade	kˈenɑde
eelnõus	ˈeːlnɵus
meloodiat	melˈoːdiat
terapeut	tˈerɑpeut
ettevalmistamist	ˈetːevˌalmistamist
mängur	mˈæŋɡur
liikmeskonnaga	lˈiːkːmeskˌonnaɡa
kahtlustuse	kˈahtlustˌuse
perioodidel	pˌeriˈoːdidel
EMÜ	ˈemy
KAKS	kˈaks
piirkondadega	pˈiːrkːondˌadeɡa
maanteelt	mˈaːntˈeːlt
Veritas	vˈerɪtas
Kaseorg	kasˈeoːrɡ
võimekad	vˈɵimekad
Põhjaranniku	pˈɵhjarˌanniku
Linnavõimud	lˈinnavˌɵimud
kulumise	kˈulʊmˌise
Saksamaa	sˌaksamˈaː
usundiõpetus	ˈusʊɲdiˌɵpːetus
Vahar	vˈahɑr
kujuta	kˈujʊta
autorite	ˈautːˌorite
lõhnaga	lˈɵhnaɡa
bioloogia	pˌiolˈoːɡia
nihutamine	nˈihʊtˌamine
vaidlustas	vˈaidlˌustas
kinnitamisele	kˈiɲɲitˌamisˌele
okupatsioonivõimu	ˌokupaˌit^siˈoːnivˌɵimu
eraelu	ˈeraˌelu
illusiooni	ˌillusiˈoːni
eksootilised	eksˈoːtːilised
kurja	kˈurja
riiklikele	rˈiːkːlikˌele
pooleliolevad	pˈoːlelˌiolevad
suurteks	sˈuːrteks
võõrustas	vˈɵːrustas
hooldekodud	hˈoːldekodud
diakoonia	dˌiakːˈoːnia
kola	kˈolɑ
Kokkuvõttes	kˈokːuvˌɵtːes
lollitada	lˈoʎʎitˌada
VIDEO	vidˈeoː
kõhud	kˈɵhʊd
referendumil	rˈefɛrˌendumil
arvutiprogramm	ˈarvutˌiproɡramm
ratsionaalsed	rˌait^sionˈaːlsed
ristmikud	rˈistmikud
ennetamisel	ˈennetˌamisel
ajateenistusest	ˌajɑtˈeːnistusest
protektsionismi	prˈotektsionˌismi
